,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 15, 2014",
79 ,79 ,15 ,Candia                   ," 12,595.43 ", -   , -   ," 12,595.43 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 11,864.26 ", -   , -   ," 11,864.26 ",
95 ,95 ,29 ,Chesterfield             ," 16,796.14 ", -   , -   ," 16,796.14 ",
99 ,99 ,53 ,Chichester               ," 15,823.27 ", -   , -   ," 15,823.27 ",
101 ,101 ,6 ,Claremont                ," 14,680.08 "," 14,828.57 "," 18,715.79 "," 15,943.32 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 12,913.16 ", -   ," 19,081.08 "," 14,765.30 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 14,383.27 "," 13,269.82 "," 12,850.86 "," 13,558.69 ",
112 ,0 ,1 ,Contoocook Valley," 18,064.29 "," 15,890.69 "," 16,333.42 "," 16,805.59 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 15,733.46 "," 15,802.83 "," 13,665.50 "," 14,820.05 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 20,818.87 ", -   , -   ," 20,818.87 ",
117 ,117 ,43 ,Croydon                  ," 9,738.64 ", -   , -   ," 9,738.64 ",
127 ,127 ,53 ,Deerfield                ," 16,816.29 ", -   , -   ," 16,816.29 ",
131 ,131 ,10 ,Derry  Cooperative," 13,577.06 "," 12,334.33 ", -   ," 13,106.79 ",
141 ,141 ,11 ,Dover                    ," 9,817.11 "," 9,241.00 "," 11,476.66 "," 10,204.41 ",
142 ,0 ,22 ,Dresden ," 16,998.13 ", -   ," 17,735.10 "," 17,475.44 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 12,856.31 ", -   , -   ," 12,856.31 ",
153 ,153 ,16 ,East Kingston            ," 15,934.81 ", -   , -   ," 15,934.81 ",
,,,,,,,,
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 13,385.14 "," 15,605.12 "," 16,268.60 "," 14,655.85 ",
167 ,167 ,53 ,Epsom                    ," 14,378.96 ", -   , -   ," 14,378.96 ",
171 ,171 ,20 ,Errol                    ," 34,707.47 ", -   , -   ," 34,707.47 ",
,,,,,,,,
173 ,173 ,16 ,Exeter                   ," 15,066.52 ", -   , -   ," 15,066.52 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 12,263.43 "," 13,465.60 "," 12,946.94 ",
174 ,0 ,60 ,Fall Mountain Regional," 15,467.86 ", -   ," 15,865.78 "," 15,599.01 ",
175 ,175 ,61 ,Farmington               ," 13,225.75 ", -   ," 12,497.60 "," 12,983.38 ",
185 ,185 ,18 ,Franklin                 ," 8,566.96 "," 10,969.77 "," 11,402.44 "," 10,144.40 ",
,,,,,,,,
187 ,187 ,13 ,Freedom                  ," 25,065.56 ", -   , -   ," 25,065.56 ",
189 ,189 ,14 ,Fremont                  ," 14,323.40 ", -   , -   ," 14,323.40 ",
191 ,191 ,30 ,Gilford                  ," 19,047.36 "," 16,695.56 "," 16,403.15 "," 17,254.66 ",
195 ,195 ,30 ,Gilmanton                ," 13,459.68 ", -   , -   ," 13,459.68 ",
199 ,199 ,19 ,Goffstown                ," 12,960.92 "," 10,750.21 "," 11,332.81 "," 11,570.80 ",
,,,,,,,,
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 15,294.28 "," 15,815.60 "," 16,225.77 "," 15,729.52 ",
207 ,0 ,43 ,Goshen-Lempster Coop," 17,321.00 ", -   , -   ," 17,321.00 ",
208 ,0 ,49 ,Gov Wentworth Regional," 17,726.77 "," 18,686.05 "," 16,053.72 "," 17,293.33 ",
211 ,211 ,32 ,Grantham                 ," 15,742.84 ", -   , -   ," 15,742.84 ",
215 ,215 ,50 ,Greenland                ," 13,034.74 ", -   , -   ," 13,034.74 ",
,,,,,,,,
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 17,314.04 "," 18,103.98 ", -   ," 17,692.19 ",
225 ,225 ,21 ,Hampton                  ," 14,831.81 ", -   , -   ," 14,831.81 ",
227 ,227 ,21 ,Hampton Falls            ," 18,180.89 ", -   , -   ," 18,180.89 ",
233 ,233 ,22 ,Hanover                  ," 19,376.89 ", -   , -   ," 19,376.89 ",
,,,,,,,,
235 ,235 ,29 ,Harrisville              ," 27,951.69 ", -   , -   ," 27,951.69 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 13,979.98 "," 15,849.64 "," 17,893.00 "," 15,942.31 ",
245 ,245 ,24 ,Henniker                 ," 16,166.34 ", -   , -   ," 16,166.34 ",
247 ,247 ,18 ,Hill                     ," 13,177.09 ", -   , -   ," 13,177.09 ",
,,,,,,,,
251 ,0 ,34 ,Hillsboro-Deering Coop," 15,364.26 "," 15,060.90 "," 16,257.53 "," 15,588.13 ",
255 ,255 ,38 ,Hinsdale                 ," 16,228.16 "," 19,170.87 "," 18,603.04 "," 17,626.08 ",
257 ,257 ,48 ,Holderness               ," 20,990.68 ", -   , -   ," 20,990.68 ",
259 ,259 ,41 ,Hollis                   ," 15,351.69 ", -   , -   ," 15,351.69 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 14,928.29 "," 12,686.41 "," 13,378.86 ",
,,,,,,,,
261 ,261 ,15 ,Hooksett                 ," 11,943.56 "," 12,026.58 ", -   ," 11,974.62 ",
263 ,263 ,66 ,Hopkinton                ," 16,840.77 "," 17,435.88 "," 17,637.27 "," 17,193.63 ",
267 ,267 ,27 ,Hudson                   ," 11,019.58 "," 10,151.67 "," 10,915.82 "," 10,771.09 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 18,135.83 ", -   ," 19,819.14 "," 18,670.67 ",
271 ,271 ,9 ,Jackson                  ," 21,101.39 ", -   , -   ," 21,101.39 ",
,,,,,,,,
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 13,267.90 "," 14,010.12 "," 14,651.91 "," 13,850.29 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 16,024.32 "," 16,024.32 ",
276 ,0 ,65 ,Kearsarge Regional," 15,976.21 "," 17,639.03 "," 17,343.32 "," 16,821.84 ",
279 ,279 ,29 ,Keene                    ," 17,132.38 "," 13,064.55 "," 14,594.47 "," 15,223.41 ",
281 ,281 ,16 ,Kensington               ," 18,545.23 ", -   , -   ," 18,545.23 ",
285 ,285 ,30 ,Laconia                  ," 13,300.23 "," 15,494.74 "," 15,367.19 "," 14,447.10 ",
288 ,0 ,35 ,Lafayette Regional," 20,270.88 ", -   , -   ," 20,270.88 ",
291 ,291 ,35 ,Landaff                  ," 15,444.68 ", -   , -   ," 15,444.68 ",
295 ,295 ,32 ,Lebanon                  ," 19,229.78 "," 19,995.16 "," 16,315.01 "," 18,298.71 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 17,299.87 "," 17,728.60 "," 20,186.89 "," 18,331.20 ",
,,,,,,,,
306 ,0 ,35 ,Lisbon Regional," 16,557.96 "," 15,145.53 "," 16,165.87 "," 16,038.45 ",
315 ,315 ,27 ,Litchfield               ," 13,121.78 "," 11,209.39 "," 13,893.75 "," 12,697.75 ",
317 ,317 ,35 ,Littleton                ," 16,085.28 "," 15,573.42 "," 21,835.88 "," 17,813.96 ",
319 ,319 ,12 ,Londonderry              ," 15,181.76 "," 12,426.44 "," 13,647.52 "," 13,931.24 ",
327 ,327 ,22 ,Lyme                     ," 17,801.29 ", -   , -   ," 17,801.29 ",
,,,,,,,,
333 ,333 ,13 ,Madison                  ," 22,777.43 ", -   , -   ," 22,777.43 ",
335 ,335 ,37 ,Manchester               ," 10,600.26 "," 10,780.51 "," 10,473.56 "," 10,596.16 ",
339 ,339 ,29 ,Marlboro                 ," 17,581.07 ", -   , -   ," 17,581.07 ",
341 ,341 ,29 ,Marlow                   ," 21,209.07 ", -   , -   ," 21,209.07 ",
342 ,0 ,63 ,Mascenic Regional," 10,949.44 "," 12,171.89 "," 13,366.45 "," 12,106.55 ",
,,,,,,,,
343 ,0 ,62 ,Mascoma Valley Regional," 15,583.35 ", -   ," 17,142.61 "," 16,055.68 ",
,,,Mason," 16,845.48 ", -   , -   ," 16,845.48 ",
351 ,351 ,26 ,Merrimack                ," 14,609.96 "," 14,952.74 "," 14,015.67 "," 14,462.38 ",
352 ,0 ,46 ,Merrimack Valley," 13,271.01 "," 12,371.11 "," 12,313.90 "," 12,735.19 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
,,,,,,,,
355 ,355 ,20 ,Milan                    ," 13,371.65 ", -   , -   ," 13,371.65 ",
357 ,357 ,40 ,Milford                  ," 13,030.75 "," 12,175.23 "," 14,461.53 "," 13,272.61 ",
359 ,359 ,64 ,Milton                   ," 13,518.29 "," 13,705.98 "," 15,244.44 "," 14,095.63 ",
363 ,0 ,38 ,Monadnock Regional," 16,373.90 "," 16,371.91 "," 16,992.74 "," 16,567.72 ",
365 ,365 ,23 ,Monroe                   ," 25,067.96 ", -   , -   ," 25,067.96 ",
,,,,,,,,
367 ,367 ,39 ,Mont Vernon              ," 15,166.38 ", -   , -   ," 15,166.38 ",
369 ,369 ,45 ,Moultonborough           ," 21,253.34 "," 24,684.73 "," 22,390.33 "," 22,212.92 ",
371 ,371 ,42 ,Nashua                   ," 11,854.33 "," 11,962.57 "," 11,772.78 "," 11,852.75 ",
375 ,375 ,29 ,Nelson                   ," 17,952.63 ", -   , -   ," 17,952.63 ",
377 ,377 ,19 ,New Boston               ," 11,504.11 ", -   , -   ," 11,504.11 ",
,,,,,,,,
381 ,381 ,50 ,New Castle               ," 23,808.82 ", -   , -   ," 23,808.82 ",
387 ,387 ,16 ,Newfields                ," 14,776.75 ", -   , -   ," 14,776.75 ",
388 ,0 ,4 ,Newfound Area," 15,574.54 "," 16,420.98 "," 16,677.02 "," 16,115.79 ",
391 ,391 ,50 ,Newington                ," 31,399.86 ", -   , -   ," 31,399.86 ",
399 ,399 ,31 ,Newmarket                ," 13,994.26 ", -   ," 17,597.85 "," 14,845.78 ",
,,,,,,,,
401 ,401 ,43 ,Newport                  ," 14,602.62 "," 15,503.03 "," 16,222.64 "," 15,341.03 ",
405 ,405 ,21 ,North Hampton            ," 17,687.46 ", -   , -   ," 17,687.46 ",
407 ,407 ,58 ,Northumberland           ," 15,994.40 ", -   ," 12,743.99 "," 14,627.46 ",
411 ,411 ,44 ,Northwood                ," 14,856.11 ", -   , -   ," 14,856.11 ",
413 ,413 ,44 ,Nottingham               ," 12,379.43 ", -   , -   ," 12,379.43 ",
,,,,,,,,
423 ,0 ,5 ,Oyster River Cooperative," 16,208.62 "," 15,676.48 "," 16,788.09 "," 16,221.87 ",
425 ,425 ,28 ,Pelham                   ," 10,795.98 ", -   ," 11,875.91 "," 11,135.73 ",
427 ,427 ,53 ,Pembroke                 ," 14,105.38 ", -   ," 12,305.90 "," 13,179.16 ",
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 16,593.25 "," 16,593.25 ",
435 ,435 ,23 ,Piermont                 ," 18,378.24 ", -   , -   ," 18,378.24 ",
,,,,,,,,
437 ,437 ,7 ,Pittsburg                ," 27,405.62 ", -   ," 20,760.28 "," 24,574.00 ",
439 ,439 ,51 ,Pittsfield               ," 15,514.50 "," 16,497.06 "," 21,812.14 "," 17,543.06 ",
441 ,441 ,32 ,Plainfield               ," 20,304.15 ", -   , -   ," 20,304.15 ",
447 ,447 ,48 ,Plymouth                 ," 18,007.51 ", -   , -   ," 18,007.51 ",
449 ,449 ,52 ,Portsmouth               ," 15,802.79 "," 15,901.94 "," 15,594.75 "," 15,739.15 ",
450 ,0 ,35 ,Profile  , -   ," 19,392.31 "," 18,921.50 "," 19,103.91 ",
453 ,453 ,33 ,Raymond                  ," 12,588.15 "," 14,650.58 "," 14,164.91 "," 13,715.43 ",
461 ,461 ,54 ,Rochester                ," 13,907.60 "," 12,062.21 "," 12,360.27 "," 12,989.62 ",
463 ,463 ,56 ,Rollinsford              ," 18,373.06 ", -   , -   ," 18,373.06 ",
467 ,467 ,48 ,Rumney                   ," 19,013.15 ", -   , -   ," 19,013.15 ",
,,,,,,,,
471 ,471 ,50 ,Rye                      ," 17,056.53 ", -   , -   ," 17,056.53 ",
473 ,473 ,57 ,Salem                    ," 13,599.72 "," 11,705.93 "," 14,022.72 "," 13,300.80 ",
476 ,0 ,17 ,Sanborn Regional," 15,765.27 "," 15,000.80 "," 13,814.07 "," 14,842.48 ",
485 ,485 ,21 ,Seabrook                 ," 17,028.20 ", -   , -   ," 17,028.20 ",
486 ,0 ,46 ,Shaker Regional," 13,926.97 "," 14,923.59 "," 13,605.88 "," 14,124.23 ",
,,,,,,,,
491 ,491 ,56 ,Somersworth              ," 13,898.67 "," 13,378.34 "," 12,738.69 "," 13,390.51 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 19,012.32 "," 19,012.32 ",
495 ,495 ,21 ,South Hampton            ," 22,560.65 ", -   , -   ," 22,560.65 ",
499 ,499 ,58 ,Stark                    ," 16,161.15 ", -   , -   ," 16,161.15 ",
501 ,501 ,7 ,Stewartstown             ," 14,269.66 ", -   , -   ," 14,269.66 ",
,,,,,,,,
503 ,503 ,24 ,Stoddard                 ," 16,050.04 ", -   , -   ," 16,050.04 ",
507 ,507 ,44 ,Strafford                ," 13,703.28 ", -   , -   ," 13,703.28 ",
509 ,509 ,58 ,Stratford                ," 19,873.22 ", -   , -   ," 19,873.22 ",
511 ,511 ,16 ,Stratham                 ," 14,530.92 ", -   , -   ," 14,530.92 ",
,,,Sullivan, -   , -   , -   , -   ,
,,,,,,,,
515 ,515 ,43 ,Sunapee                  ," 18,681.33 "," 25,170.01 "," 21,667.21 "," 21,275.86 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 19,395.91 ", -   , -   ," 19,395.91 ",
531 ,531 ,48 ,Thornton                 ," 17,916.21 ", -   , -   ," 17,916.21 ",
534 ,0 ,55 ,Timberlane Regional," 14,829.50 "," 14,524.32 "," 14,103.33 "," 14,498.05 ",
,,,,,,,,
539 ,539 ,6 ,Unity                    ," 11,292.88 ", -   , -   ," 11,292.88 ",
543 ,543 ,64 ,Wakefield                ," 13,600.76 ", -   , -   ," 13,600.76 ",
549 ,549 ,23 ,Warren                   ," 19,419.37 ", -   , -   ," 19,419.37 ",
551 ,551 ,34 ,Washington               ," 18,451.12 ", -   , -   ," 18,451.12 ",
553 ,553 ,48 ,Waterville Valley        ," 25,669.17 ", -   , -   ," 25,669.17 ",
,,,,,,,,
555 ,555 ,24 ,Weare                    ," 11,741.74 "," 11,154.49 ", -   ," 11,445.46 ",
559 ,559 ,48 ,Wentworth                ," 20,390.94 ", -   , -   ," 20,390.94 ",
563 ,563 ,29 ,Westmoreland             ," 12,887.59 ", -   , -   ," 12,887.59 ",
568 ,0 ,36 ,White Mountains Regional," 14,023.93 ", -   ," 14,768.76 "," 14,277.11 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 17,779.85 "," 18,136.59 "," 15,673.50 "," 17,124.46 ",
573 ,573 ,38 ,Winchester               ," 14,916.78 ", -   , -   ," 14,916.78 ",
,,,,,,,,
575 ,575 ,28 ,Windham                  ," 12,395.67 ", -   ," 14,393.40 "," 12,950.85 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 16,955.60 "," 16,955.60 ",
582 ,0 ,59 ,Winnisquam Regional," 13,410.05 "," 15,015.80 "," 13,271.96 "," 13,755.08 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,JDF/rml,,,,,
,,,66  (18.20),,,,,
