,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 9, 2013",
257 ,257 ,48 ,Holderness               ," 18,659.18 ", -   , -   ," 18,659.18 ",
259 ,259 ,41 ,Hollis                   ," 15,053.33 ", -   , -   ," 15,053.33 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 12,802.36 "," 11,812.32 "," 12,138.10 ",
,,,,,,,,
261 ,261 ,15 ,Hooksett                 ," 11,067.88 "," 12,123.75 ", -   ," 11,440.12 ",
263 ,263 ,66 ,Hopkinton                ," 15,568.15 "," 17,234.97 "," 16,230.69 "," 16,041.51 ",
267 ,267 ,27 ,Hudson                   ," 10,092.97 "," 9,791.31 "," 10,600.02 "," 10,203.95 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 17,280.33 ", -   ," 18,370.68 "," 17,632.35 ",
271 ,271 ,9 ,Jackson                  ," 21,357.90 ", -   , -   ," 21,357.90 ",
,,,,,,,,
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 12,649.17 "," 12,833.34 "," 13,045.81 "," 12,813.76 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 15,788.26 "," 15,788.26 ",
276 ,0 ,65 ,Kearsarge Regional," 15,771.01 "," 15,957.50 "," 16,545.42 "," 16,062.62 ",
279 ,279 ,29 ,Keene                    ," 16,922.86 "," 13,962.81 "," 13,786.42 "," 14,975.07 ",
281 ,281 ,16 ,Kensington               ," 15,691.89 ", -   , -   ," 15,691.89 ",
285 ,285 ,30 ,Laconia                  ," 12,627.84 "," 14,876.37 "," 16,518.96 "," 14,369.57 ",
288 ,0 ,35 ,Lafayette Regional," 21,603.80 ", -   , -   ," 21,603.80 ",
291 ,291 ,35 ,Landaff                  ," 13,748.11 ", -   , -   ," 13,748.11 ",
295 ,295 ,32 ,Lebanon                  ," 18,109.35 "," 17,711.25 "," 16,019.64 "," 17,176.34 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 16,091.90 "," 16,650.03 "," 19,884.34 "," 17,377.73 ",
,,,,,,,,
306 ,0 ,35 ,Lisbon Regional," 15,588.44 "," 13,669.37 "," 14,266.71 "," 14,611.54 ",
315 ,315 ,27 ,Litchfield               ," 11,748.60 "," 11,323.82 "," 13,277.50 "," 12,127.52 ",
317 ,317 ,35 ,Littleton                ," 15,437.94 "," 16,612.83 "," 21,167.60 "," 17,434.53 ",
319 ,319 ,12 ,Londonderry              ," 14,770.71 "," 12,202.40 "," 12,744.43 "," 13,395.70 ",
327 ,327 ,22 ,Lyme                     ," 16,042.76 ", -   , -   ," 16,042.76 ",
,,,,,,,,
333 ,333 ,13 ,Madison                  ," 21,609.64 ", -   , -   ," 21,609.64 ",
335 ,335 ,37 ,Manchester               ," 10,717.55 "," 10,853.42 "," 9,716.08 "," 10,393.58 ",
339 ,339 ,29 ,Marlboro                 ," 16,092.56 ", -   , -   ," 16,092.56 ",
341 ,341 ,29 ,Marlow                   ," 17,668.32 ", -   , -   ," 17,668.32 ",
342 ,0 ,63 ,Mascenic Regional," 10,782.49 "," 11,191.03 "," 12,550.40 "," 11,475.98 ",
,,,,,,,,
343 ,0 ,62 ,Mascoma Valley Regional," 15,193.62 ", -   ," 15,914.75 "," 15,413.37 ",
,,,Mason," 15,106.36 ", -   , -   ," 15,106.36 ",
351 ,351 ,26 ,Merrimack                ," 13,657.95 "," 13,655.66 "," 13,038.99 "," 13,440.19 ",
352 ,0 ,46 ,Merrimack Valley," 12,541.78 "," 11,481.46 "," 11,627.87 "," 11,979.82 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
,,,,,,,,
355 ,355 ,20 ,Milan                    ," 12,721.29 ", -   , -   ," 12,721.29 ",
357 ,357 ,40 ,Milford                  ," 12,106.35 "," 12,469.40 "," 13,388.09 "," 12,643.50 ",
359 ,359 ,64 ,Milton                   ," 13,259.35 "," 15,026.13 "," 15,521.63 "," 14,366.12 ",
363 ,0 ,38 ,Monadnock Regional," 16,127.22 "," 16,516.45 "," 16,985.04 "," 16,445.30 ",
365 ,365 ,23 ,Monroe                   ," 24,148.28 ", -   , -   ," 24,148.28 ",
,,,,,,,,
367 ,367 ,39 ,Mont Vernon              ," 14,719.33 ", -   , -   ," 14,719.33 ",
369 ,369 ,45 ,Moultonborough           ," 20,598.10 "," 22,175.12 "," 21,508.93 "," 21,201.28 ",
371 ,371 ,42 ,Nashua                   ," 11,173.12 "," 11,294.43 "," 11,253.72 "," 11,225.03 ",
375 ,375 ,29 ,Nelson                   ," 27,076.23 ", -   , -   ," 27,076.23 ",
377 ,377 ,19 ,New Boston               ," 11,407.38 ", -   , -   ," 11,407.38 ",
,,,,,,,,
381 ,381 ,50 ,New Castle               ," 21,725.68 ", -   , -   ," 21,725.68 ",
387 ,387 ,16 ,Newfields                ," 15,881.56 ", -   , -   ," 15,881.56 ",
388 ,0 ,4 ,Newfound Area," 14,481.07 "," 15,918.19 "," 16,117.05 "," 15,316.37 ",
391 ,391 ,50 ,Newington                ," 32,029.39 ", -   , -   ," 32,029.39 ",
399 ,399 ,31 ,Newmarket                ," 14,079.80 ", -   ," 17,547.80 "," 14,948.60 ",
,,,,,,,,
401 ,401 ,43 ,Newport                  ," 15,631.92 "," 11,455.17 "," 16,080.69 "," 15,139.51 ",
405 ,405 ,21 ,North Hampton            ," 17,156.16 ", -   , -   ," 17,156.16 ",
407 ,407 ,58 ,Northumberland           ," 14,466.36 ", -   ," 12,733.99 "," 13,815.50 ",
411 ,411 ,44 ,Northwood                ," 13,414.00 ", -   , -   ," 13,414.00 ",
413 ,413 ,44 ,Nottingham               ," 12,124.51 ", -   , -   ," 12,124.51 ",
,,,,,,,,
423 ,0 ,5 ,Oyster River Cooperative," 17,079.47 "," 15,831.11 "," 16,756.32 "," 16,553.23 ",
425 ,425 ,28 ,Pelham                   ," 9,711.94 ", -   ," 12,648.30 "," 10,548.69 ",
427 ,427 ,53 ,Pembroke                 ," 13,484.34 ", -   ," 11,665.90 "," 12,537.82 ",
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 16,555.95 "," 16,555.95 ",
435 ,435 ,23 ,Piermont                 ," 18,928.52 ", -   , -   ," 18,928.52 ",
,,,,,,,,
437 ,437 ,7 ,Pittsburg                ," 24,043.09 ", -   ," 25,245.01 "," 24,492.23 ",
439 ,439 ,51 ,Pittsfield               ," 15,258.53 "," 20,985.00 "," 22,558.35 "," 18,371.61 ",
441 ,441 ,32 ,Plainfield               ," 18,332.42 ", -   , -   ," 18,332.42 ",
447 ,447 ,48 ,Plymouth                 ," 18,084.73 ", -   , -   ," 18,084.73 ",
449 ,449 ,52 ,Portsmouth               ," 14,753.47 "," 15,512.13 "," 14,546.35 "," 14,808.76 ",
450 ,0 ,35 ,Profile  , -   ," 21,483.17 "," 17,183.72 "," 18,654.28 ",
453 ,453 ,33 ,Raymond                  ," 12,677.69 "," 13,934.96 "," 14,748.05 "," 13,712.64 ",
461 ,461 ,54 ,Rochester                ," 13,335.01 "," 11,689.86 "," 11,284.07 "," 12,281.60 ",
463 ,463 ,56 ,Rollinsford              ," 16,881.74 ", -   , -   ," 16,881.74 ",
467 ,467 ,48 ,Rumney                   ," 20,361.23 ", -   , -   ," 20,361.23 ",
,,,,,,,,
471 ,471 ,50 ,Rye                      ," 17,024.07 ", -   , -   ," 17,024.07 ",
473 ,473 ,57 ,Salem                    ," 12,776.02 "," 10,694.88 "," 13,092.11 "," 12,383.30 ",
476 ,0 ,17 ,Sanborn Regional," 15,774.75 "," 14,633.15 "," 13,591.21 "," 14,650.61 ",
485 ,485 ,21 ,Seabrook                 ," 17,325.04 "," 16,318.22 ", -   ," 16,864.61 ",
486 ,0 ,46 ,Shaker Regional," 13,324.40 "," 14,839.77 "," 12,472.07 "," 13,505.34 ",
,,,,,,,,
491 ,491 ,56 ,Somersworth              ," 12,723.27 "," 13,093.22 "," 13,052.63 "," 12,921.22 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 19,317.74 "," 19,317.74 ",
495 ,495 ,21 ,South Hampton            ," 19,679.63 ", -   , -   ," 19,679.63 ",
499 ,499 ,58 ,Stark                    ," 15,633.51 ", -   , -   ," 15,633.51 ",
501 ,501 ,7 ,Stewartstown             ," 16,011.69 ", -   , -   ," 16,011.69 ",
,,,,,,,,
503 ,503 ,24 ,Stoddard                 ," 13,978.30 ", -   , -   ," 13,978.30 ",
507 ,507 ,44 ,Strafford                ," 14,337.41 ", -   , -   ," 14,337.41 ",
509 ,509 ,58 ,Stratford                ," 16,799.02 ", -   , -   ," 16,799.02 ",
511 ,511 ,16 ,Stratham                 ," 14,129.83 ", -   , -   ," 14,129.83 ",
515 ,515 ,43 ,Sunapee                  ," 17,249.98 "," 25,768.97 "," 22,338.49 "," 20,951.68 ",
,,,,,,,,
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 17,250.99 ", -   , -   ," 17,250.99 ",
531 ,531 ,48 ,Thornton                 ," 16,001.25 ", -   , -   ," 16,001.25 ",
534 ,0 ,55 ,Timberlane Regional," 13,543.17 "," 13,751.91 "," 12,793.28 "," 13,329.27 ",
539 ,539 ,6 ,Unity                    ," 11,663.32 ", -   , -   ," 11,663.32 ",
,,,,,,,,
543 ,543 ,64 ,Wakefield                ," 12,622.99 ", -   , -   ," 12,622.99 ",
549 ,549 ,23 ,Warren                   ," 17,840.31 ", -   , -   ," 17,840.31 ",
551 ,551 ,34 ,Washington               ," 19,404.19 ", -   , -   ," 19,404.19 ",
553 ,553 ,48 ,Waterville Valley        ," 27,284.85 ", -   , -   ," 27,284.85 ",
555 ,555 ,24 ,Weare                    ," 10,415.00 "," 11,682.49 ", -   ," 11,022.12 ",
,,,,,,,,
559 ,559 ,48 ,Wentworth                ," 17,901.83 ", -   , -   ," 17,901.83 ",
563 ,563 ,29 ,Westmoreland             ," 11,510.15 ", -   , -   ," 11,510.15 ",
568 ,0 ,36 ,White Mountains Regional," 13,460.65 ", -   ," 15,416.71 "," 14,109.21 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 16,936.45 "," 15,359.19 "," 14,365.22 "," 15,679.96 ",
573 ,573 ,38 ,Winchester               ," 13,925.90 ", -   , -   ," 13,925.90 ",
,,,,,,,,
575 ,575 ,28 ,Windham                  ," 11,966.52 ", -   ," 14,417.80 "," 12,631.63 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 15,852.30 "," 15,852.30 ",
582 ,0 ,59 ,Winnisquam Regional," 12,767.05 "," 13,797.95 "," 13,680.43 "," 13,307.22 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,JDF/rml,,,,,
,,,66  (18.20),,,,,
