,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 17, 2018",
127 ,127 ,53 ,Deerfield                ," 18,010.23 ", -   , -   ," 18,010.23 ",
131 ,131 ,10 ,Derry  Cooperative," 15,442.58 "," 14,254.97 ", -   ," 15,014.25 ",
141 ,141 ,11 ,Dover                    ," 13,014.47 "," 10,614.94 "," 12,859.59 "," 12,234.46 ",
142 ,0 ,22 ,Dresden ," 19,595.55 ", -   ," 19,856.55 "," 19,766.98 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 14,872.76 ", -   , -   ," 14,872.76 ",
153 ,153 ,16 ,East Kingston *            ," 18,769.60 ", -   , -   ," 18,769.60 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 15,078.47 "," 16,824.13 "," 19,851.83 "," 16,797.82 ",
167 ,167 ,53 ,Epsom                    ," 16,834.59 ", -   , -   ," 16,834.59 ",
171 ,171 ,20 ,Errol                    ," 25,282.53 ", -   , -   ," 25,282.53 ",
173 ,173 ,16 ,Exeter  *                  ," 17,703.44 ", -   , -   ," 17,703.44 ",
172 ,0 ,16 ,Exeter Regional Cooperative * , -   ," 15,405.21 "," 15,242.84 "," 15,309.85 ",
174 ,0 ,60 ,Fall Mountain Regional," 18,424.23 ", -   ," 17,348.50 "," 18,079.51 ",
175 ,175 ,61 ,Farmington               ," 14,636.80 ", -   ," 17,109.55 "," 15,354.78 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 15,376.29 "," 12,117.11 "," 15,595.49 "," 14,197.77 ",
187 ,187 ,13 ,Freedom                  ," 31,425.95 ", -   , -   ," 31,425.95 ",
189 ,189 ,14 ,Fremont                  ," 15,433.85 ", -   , -   ," 15,433.85 ",
191 ,191 ,30 ,Gilford                  ," 18,819.20 "," 18,098.95 "," 19,170.31 "," 18,756.02 ",
195 ,195 ,30 ,Gilmanton                ," 15,244.60 ", -   , -   ," 15,244.60 ",
199 ,199 ,19 ,Goffstown                ," 13,667.07 "," 13,156.55 "," 13,784.12 "," 13,553.63 ",
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 16,679.85 "," 16,409.11 "," 20,390.22 "," 17,722.44 ",
207 ,0 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 18,448.39 "," 18,547.65 "," 17,820.30 "," 18,252.09 ",
211 ,211 ,32 ,Grantham                 ," 23,472.82 ", -   , -   ," 23,472.82 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 14,276.58 ", -   , -   ," 14,276.58 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 18,487.09 "," 18,717.77 ", -   ," 18,599.20 ",
225 ,225 ,21 ,Hampton                  ," 16,730.13 ", -   , -   ," 16,730.13 ",
227 ,227 ,21 ,Hampton Falls            ," 22,440.88 ", -   , -   ," 22,440.88 ",
233 ,233 ,22 ,Hanover                  ," 21,652.95 ", -   , -   ," 21,652.95 ",
235 ,235 ,29 ,Harrisville              ," 25,886.00 ", -   , -   ," 25,886.00 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 14,782.76 "," 17,554.06 "," 22,080.91 "," 17,930.40 ",
245 ,245 ,24 ,Henniker   **              ," 17,816.13 ", -   , -   ," 17,816.13 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 14,113.60 ", -   , -   ," 14,113.60 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 18,616.31 "," 15,486.49 "," 21,339.05 "," 18,559.24 ",
255 ,255 ,38 ,Hinsdale                 ," 16,492.54 "," 21,384.57 "," 23,789.14 "," 19,454.28 ",
257 ,257 ,48 ,Holderness               ," 22,042.01 ", -   , -   ," 22,042.01 ",
259 ,259 ,41 ,Hollis                   ," 15,789.98 ", -   , -   ," 15,789.98 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 14,290.53 "," 15,520.73 "," 15,095.83 ",
261 ,261 ,15 ,Hooksett                 ," 15,114.76 "," 13,515.51 ", -   ," 14,487.37 ",
263 ,263 ,66 ,Hopkinton                ," 16,968.32 "," 15,486.92 "," 18,898.92 "," 17,265.98 ",
267 ,267 ,27 ,Hudson                   ," 13,914.46 "," 13,448.67 "," 13,916.53 "," 13,800.98 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 21,731.40 ", -   ," 23,551.86 "," 22,293.52 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 27,357.30 ", -   , -   ," 27,357.30 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 14,851.54 "," 14,181.19 "," 15,772.24 "," 14,938.66 ",
275 ,0 ,24 ,John Stark Regional  **, -   , -   ," 18,017.82 "," 18,017.82 ",
276 ,0 ,65 ,Kearsarge Regional," 16,834.38 "," 21,602.83 "," 20,668.83 "," 19,122.77 ",
279 ,279 ,29 ,Keene                    ," 17,312.26 "," 13,363.83 "," 15,076.16 "," 15,532.40 ",
281 ,281 ,16 ,Kensington *               ," 20,385.11 ", -   , -   ," 20,385.11 ",
285 ,285 ,30 ,Laconia                  ," 15,014.87 "," 19,647.95 "," 16,652.22 "," 16,485.00 ",
288 ,0 ,35 ,Lafayette Regional," 18,778.09 ", -   , -   ," 18,778.09 ",
291 ,291 ,35 ,Landaff                  ," 16,579.52 ", -   , -   ," 16,579.52 ",
295 ,295 ,32 ,Lebanon                  ," 23,048.38 "," 19,633.24 "," 20,219.50 "," 21,051.01 ",
,,,,,,,,
,,,Lempster," 23,965.73 ", -   , -   ," 23,965.73 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 23,321.55 "," 24,705.06 "," 24,761.36 "," 24,064.74 ",
306 ,0 ,35 ,Lisbon Regional," 12,403.52 "," 19,984.51 "," 22,039.64 "," 16,568.55 ",
315 ,315 ,27 ,Litchfield               ," 17,222.78 "," 14,699.50 "," 14,860.26 "," 15,515.34 ",
317 ,317 ,35 ,Littleton                ," 19,249.79 "," 18,702.51 "," 20,624.81 "," 19,681.76 ",
319 ,319 ,12 ,Londonderry              ," 17,092.80 "," 14,946.33 "," 15,950.88 "," 16,176.96 ",
327 ,327 ,22 ,Lyme                     ," 22,102.77 ", -   , -   ," 22,102.77 ",
333 ,333 ,13 ,Madison                  ," 25,256.58 ", -   , -   ," 25,256.58 ",
335 ,335 ,37 ,Manchester               ," 11,367.66 "," 12,124.09 "," 13,028.39 "," 12,024.43 ",
339 ,339 ,29 ,Marlboro                 ," 19,639.75 ", -   , -   ," 19,639.75 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 22,584.33 ", -   , -   ," 22,584.33 ",
342 ,0 ,63 ,Mascenic Regional," 12,266.12 "," 13,812.50 "," 16,449.33 "," 14,044.86 ",
343 ,0 ,62 ,Mascoma Valley Regional," 18,981.32 ", -   ," 20,755.26 "," 19,498.18 ",
,,,Mason," 19,314.11 ", -   , -   ," 19,314.11 ",
351 ,351 ,26 ,Merrimack                ," 16,723.91 "," 16,187.73 "," 16,269.48 "," 16,483.61 ",
352 ,0 ,46 ,Merrimack Valley," 13,918.88 "," 14,922.82 "," 15,733.06 "," 14,742.55 ",
353 ,353 ,61 ,Middleton                ," 15,908.62 ", -   , -   ," 15,908.62 ",
355 ,355 ,20 ,Milan                    ," 12,867.42 ", -   , -   ," 12,867.42 ",
357 ,357 ,40 ,Milford                  ," 16,151.37 "," 16,006.27 "," 15,827.22 "," 15,994.26 ",
359 ,359 ,64 ,Milton                   ," 15,825.17 "," 16,586.30 "," 19,690.88 "," 17,187.18 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 17,847.33 "," 16,722.30 "," 18,832.44 "," 17,979.18 ",
365 ,365 ,23 ,Monroe                   ," 26,441.15 ", -   , -   ," 26,441.15 ",
367 ,367 ,39 ,Mont Vernon              ," 16,123.86 ", -   , -   ," 16,123.86 ",
369 ,369 ,45 ,Moultonborough           ," 22,275.02 "," 30,719.26 "," 27,499.73 "," 25,429.92 ",
371 ,371 ,42 ,Nashua                   ," 13,360.44 "," 13,156.87 "," 12,761.93 "," 13,126.65 ",
375 ,375 ,29 ,Nelson                   ," 16,334.09 ", -   , -   ," 16,334.09 ",
377 ,377 ,19 ,New Boston               ," 12,079.65 ", -   , -   ," 12,079.65 ",
381 ,381 ,50 ,New Castle               ," 20,702.30 ", -   , -   ," 20,702.30 ",
387 ,387 ,16 ,Newfields *                ," 18,894.23 ", -   , -   ," 18,894.23 ",
388 ,0 ,4 ,Newfound Area," 17,668.81 "," 15,111.67 "," 16,806.70 "," 16,721.75 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 27,994.27 ", -   , -   ," 27,994.27 ",
399 ,399 ,31 ,Newmarket                ," 15,394.44 ", -   ," 17,183.00 "," 15,834.04 ",
401 ,401 ,43 ,Newport                  ," 13,501.61 "," 13,422.70 "," 18,125.70 "," 15,101.33 ",
405 ,405 ,21 ,North Hampton            ," 21,465.68 ", -   , -   ," 21,465.68 ",
407 ,407 ,58 ,Northumberland           ," 16,589.86 ", -   ," 16,243.45 "," 16,460.75 ",
411 ,411 ,44 ,Northwood  *                ," 14,901.74 ", -   , -   ," 14,901.74 ",
413 ,413 ,44 ,Nottingham *               ," 13,560.99 ", -   , -   ," 13,560.99 ",
423 ,0 ,5 ,Oyster River Cooperative," 18,420.86 "," 17,055.38 "," 18,703.77 "," 18,099.27 ",
425 ,425 ,28 ,Pelham                   ," 11,991.66 ", -   ," 13,880.82 "," 12,643.24 ",
427 ,427 ,53 ,Pembroke                 ," 16,932.58 ", -   ," 14,147.35 "," 15,495.35 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 18,260.43 "," 18,260.43 ",
435 ,435 ,23 ,Piermont                 ," 18,116.41 ", -   , -   ," 18,116.41 ",
437 ,437 ,7 ,Pittsburg                ," 21,601.38 ", -   ," 39,509.83 "," 27,065.07 ",
439 ,439 ,51 ,Pittsfield               ," 13,759.29 "," 16,800.75 "," 20,966.15 "," 16,161.33 ",
441 ,441 ,32 ,Plainfield               ," 22,206.00 ", -   , -   ," 22,206.00 ",
447 ,447 ,48 ,Plymouth                 ," 18,694.66 ", -   , -   ," 18,694.66 ",
449 ,449 ,52 ,Portsmouth               ," 18,985.24 "," 18,200.33 "," 17,838.83 "," 18,346.42 ",
450 ,0 ,35 ,Profile  , -   ," 20,490.68 "," 24,405.03 "," 22,904.92 ",
453 ,453 ,33 ,Raymond                  ," 15,982.45 "," 15,960.09 "," 18,402.72 "," 16,679.39 ",
461 ,461 ,54 ,Rochester                ," 14,992.91 "," 12,690.69 "," 12,553.51 "," 13,656.86 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 20,364.78 ", -   , -   ," 20,364.78 ",
467 ,467 ,48 ,Rumney                   ," 22,934.37 ", -   , -   ," 22,934.37 ",
471 ,471 ,50 ,Rye                      ," 23,123.86 ", -   , -   ," 23,123.86 ",
473 ,473 ,57 ,Salem                    ," 15,505.45 "," 13,238.19 "," 16,705.25 "," 15,370.10 ",
476 ,0 ,17 ,Sanborn Regional," 19,348.65 "," 17,929.72 "," 17,224.43 "," 18,203.53 ",
485 ,485 ,21 ,Seabrook                 ," 18,133.01 ", -   , -   ," 18,133.01 ",
486 ,0 ,46 ,Shaker Regional," 15,301.37 "," 15,624.72 "," 15,426.09 "," 15,433.64 ",
491 ,491 ,56 ,Somersworth              ," 13,754.95 "," 16,569.32 "," 17,008.93 "," 15,313.36 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 19,791.08 "," 19,791.08 ",
495 ,495 ,21 ,South Hampton            ," 22,033.35 ", -   , -   ," 22,033.35 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 19,656.01 ", -   , -   ," 19,656.01 ",
501 ,501 ,7 ,Stewartstown             ," 18,537.14 ", -   , -   ," 18,537.14 ",
503 ,503 ,24 ,Stoddard  **               ," 16,645.28 ", -   , -   ," 16,645.28 ",
507 ,507 ,44 ,Strafford *                ," 13,389.69 ", -   , -   ," 13,389.69 ",
509 ,509 ,58 ,Stratford                ," 21,499.32 ", -   , -   ," 21,499.32 ",
511 ,511 ,16 ,Stratham *                 ," 17,871.97 ", -   , -   ," 17,871.97 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 23,385.55 "," 26,585.72 "," 26,946.63 "," 25,435.73 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 25,437.89 ", -   , -   ," 25,437.89 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 19,359.98 ", -   , -   ," 19,359.98 ",
534 ,0 ,55 ,Timberlane Regional," 17,092.42 "," 17,499.95 "," 17,376.37 "," 17,280.34 ",
539 ,539 ,6 ,Unity                    ," 15,044.76 ", -   , -   ," 15,044.76 ",
543 ,543 ,64 ,Wakefield                ," 14,639.02 ", -   , -   ," 14,639.02 ",
549 ,549 ,23 ,Warren                   ," 18,724.75 ", -   , -   ," 18,724.75 ",
551 ,551 ,34 ,Washington               ," 19,250.57 ", -   , -   ," 19,250.57 ",
553 ,553 ,48 ,Waterville Valley        ," 42,810.02 ", -   , -   ," 42,810.02 ",
555 ,555 ,24 ,Weare  **                    ," 11,315.37 "," 15,414.92 ", -   ," 12,813.37 ",
559 ,559 ,48 ,Wentworth                ," 23,680.94 ", -   , -   ," 23,680.94 ",
563 ,563 ,29 ,Westmoreland             ," 15,751.45 ", -   , -   ," 15,751.45 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 17,409.17 ", -   ," 18,857.61 "," 17,885.99 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 20,858.07 "," 19,784.86 "," 19,769.33 "," 20,275.42 ",
573 ,573 ,38 ,Winchester               ," 15,960.74 ", -   , -   ," 15,960.74 ",
575 ,575 ,28 ,Windham                  ," 13,880.09 ", -   ," 14,831.37 "," 14,194.57 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 19,572.69 "," 19,572.69 ",
582 ,0 ,59 ,Winnisquam Regional," 16,055.86 "," 14,604.84 "," 16,153.38 "," 15,697.64 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,* Districts do not report federal funds on their annual financial statement ,,,,,
,,,** Partial reporting of federal funds,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,RML,,,,,
,,,66  (18.20),,,,,
