,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 2, 2024",
105 ,105 ,7 ,Colebrook                ," 22,346.25 ", -   ," 21,691.27 "," 22,104.38 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 26,059.00 "," 20,765.24 "," 18,855.59 "," 22,190.24 ",
112 ,0 ,1 ,Contoocook Valley," 25,705.31 "," 25,906.14 "," 25,286.93 "," 25,620.22 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 23,320.94 "," 23,000.49 "," 20,671.71 "," 22,085.87 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 27,706.43 ", -   , -   ," 27,706.43 ",
117 ,117 ,43 ,Croydon                  ," 21,274.16 ", -   , -   ," 21,274.16 ",
127 ,127 ,53 ,Deerfield                ," 20,209.86 ", -   , -   ," 20,209.86 ",
131 ,131 ,10 ,Derry  Cooperative," 19,270.95 "," 19,360.97 ", -   ," 19,301.87 ",
141 ,141 ,11 ,Dover                    ," 19,049.98 "," 15,657.51 "," 15,901.23 "," 16,846.78 ",
142 ,0 ,22 ,Dresden ," 24,848.44 ", -   ," 25,157.58 "," 25,047.20 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 16,209.12 ", -   , -   ," 16,209.12 ",
153 ,153 ,16 ,East Kingston             ," 23,403.02 ", -   , -   ," 23,403.02 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 21,928.67 "," 23,276.25 "," 21,718.14 "," 22,177.45 ",
167 ,167 ,53 ,Epsom                    ," 22,663.09 ", -   , -   ," 22,663.09 ",
171 ,171 ,20 ,Errol                    ," 27,229.07 ", -   , -   ," 27,229.07 ",
173 ,173 ,16 ,Exeter      ," 25,599.15 ", -   , -   ," 25,599.15 ",
172 ,0 ,16 ,Exeter Regional Cooperative  , -   ," 23,813.40 "," 20,117.91 "," 21,532.44 ",
174 ,0 ,60 ,Fall Mountain Regional," 24,264.26 ", -   ," 21,134.69 "," 23,187.08 ",
175 ,175 ,61 ,Farmington               ," 19,859.23 ", -   ," 22,854.07 "," 20,741.32 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 19,535.81 ", -   ," 20,046.60 "," 19,683.47 ",
187 ,187 ,13 ,Freedom                  ," 36,460.73 ", -   , -   ," 36,460.73 ",
189 ,189 ,14 ,Fremont                  ," 18,639.38 ", -   , -   ," 18,656.02 ",
191 ,191 ,30 ,Gilford                  ," 21,498.37 "," 21,409.59 "," 20,730.71 "," 21,146.58 ",
195 ,195 ,30 ,Gilmanton                ," 20,119.15 ", -   , -   ," 20,119.15 ",
199 ,199 ,19 ,Goffstown                ," 16,808.27 "," 15,878.93 "," 16,501.40 "," 16,400.74 ",
203 ,0 ,20 ,Gorham Randolph Shelburne Coop," 20,099.60 "," 17,829.89 "," 22,757.31 "," 20,440.66 ",
204 ,203 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 23,774.19 "," 21,335.88 "," 22,661.97 "," 22,946.87 ",
211 ,211 ,32 ,Grantham                 ," 22,280.70 ", -   , -   ," 22,280.70 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 22,771.95 ", -   , -   ," 22,771.95 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 25,713.88 "," 25,496.07 ", -   ," 25,615.10 ",
225 ,225 ,21 ,Hampton                  ," 23,432.82 ", -   , -   ," 23,432.82 ",
227 ,227 ,21 ,Hampton Falls            ," 32,620.44 ", -   , -   ," 32,620.44 ",
233 ,233 ,22 ,Hanover                  ," 23,535.99 ", -   , -   ," 23,535.99 ",
235 ,235 ,29 ,Harrisville              ," 28,371.47 ", -   , -   ," 28,371.47 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 24,690.59 "," 20,484.58 "," 22,559.18 "," 22,449.94 ",
245 ,245 ,24 ,Henniker                ," 20,841.24 ", -   , -   ," 20,841.24 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 19,170.27 ", -   , -   ," 19,170.27 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 23,621.55 "," 22,733.18 "," 24,229.92 "," 23,621.84 ",
255 ,255 ,38 ,Hinsdale                 ," 25,271.23 "," 24,746.52 "," 26,181.14 "," 25,388.84 ",
257 ,257 ,48 ,Holderness               ," 29,383.14 ", -   , -   ," 29,383.14 ",
259 ,259 ,41 ,Hollis                   ," 20,328.87 ", -   , -   ," 20,328.87 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 18,004.41 "," 20,231.74 "," 19,477.76 ",
261 ,261 ,15 ,Hooksett                 ," 15,681.90 "," 18,755.87 ", -   ," 16,737.87 ",
263 ,263 ,66 ,Hopkinton                ," 22,441.45 "," 22,108.77 "," 20,920.87 "," 21,896.04 ",
267 ,267 ,27 ,Hudson                   ," 17,209.04 "," 17,749.79 "," 17,329.85 "," 17,374.54 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 29,651.50 ", -   ," 30,378.76 "," 29,875.69 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 35,688.18 ", -   , -   ," 35,688.18 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 20,761.39 "," 18,318.11 "," 17,110.76 "," 19,175.30 ",
275 ,0 ,24 ,John Stark Regional  , -   , -   ," 21,410.62 "," 21,410.62 ",
276 ,0 ,65 ,Kearsarge Regional," 23,465.96 "," 23,527.32 "," 24,505.46 "," 23,774.62 ",
279 ,279 ,29 ,Keene                    ," 20,751.55 "," 17,390.59 "," 16,693.69 "," 18,284.10 ",
281 ,281 ,16 ,Kensington               ," 27,195.55 ", -   , -   ," 27,195.55 ",
285 ,285 ,30 ,Laconia                  ," 22,262.28 "," 20,225.95 "," 19,842.68 "," 20,969.18 ",
288 ,0 ,35 ,Lafayette Regional," 33,750.24 ", -   , -   ," 33,750.24 ",
291 ,291 ,35 ,Landaff                  ," 18,503.94 ", -   , -   ," 18,503.94 ",
295 ,295 ,32 ,Lebanon                  ," 30,079.12 "," 23,636.43 "," 22,915.84 "," 25,506.39 ",
,,,,,,,,
,,,Lempster," 21,979.60 ", -   , -   ," 22,111.27 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 29,045.85 "," 25,016.34 "," 29,544.44 "," 28,137.15 ",
306 ,0 ,35 ,Lisbon Regional," 19,817.63 "," 25,128.21 "," 30,388.80 "," 23,559.52 ",
315 ,315 ,27 ,Litchfield               ," 17,670.02 "," 18,608.11 "," 19,271.41 "," 18,495.82 ",
317 ,317 ,35 ,Littleton                ," 25,721.50 "," 24,148.67 "," 27,399.22 "," 26,008.70 ",
319 ,319 ,12 ,Londonderry              ," 21,074.59 "," 19,286.06 "," 19,292.10 "," 20,053.63 ",
327 ,327 ,22 ,Lyme                     ," 28,344.24 ", -   , -   ," 28,688.37 ",
333 ,333 ,13 ,Madison                  ," 31,695.65 ", -   , -   ," 31,695.65 ",
335 ,335 ,37 ,Manchester               ," 16,522.10 "," 16,879.99 "," 16,600.63 "," 16,636.35 ",
339 ,339 ,29 ,Marlboro                 ," 23,891.16 ", -   , -   ," 23,891.16 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 20,463.25 ", -   , -   ," 20,463.25 ",
342 ,0 ,63 ,Mascenic Regional," 16,617.74 "," 19,479.95 "," 20,483.29 "," 18,641.99 ",
343 ,0 ,62 ,Mascoma Valley Regional," 24,024.58 ", -   ," 24,028.61 "," 24,025.84 ",
,,,Mason," 17,029.53 ", -   , -   ," 17,029.53 ",
351 ,351 ,26 ,Merrimack                ," 19,737.16 "," 19,908.07 "," 20,802.99 "," 20,092.90 ",
352 ,0 ,46 ,Merrimack Valley," 19,200.76 "," 18,124.26 "," 16,908.82 "," 18,178.34 ",
353 ,353 ,61 ,Middleton                ," 18,782.27 ", -   , -   ," 18,782.27 ",
355 ,355 ,20 ,Milan                    ," 18,878.67 ", -   , -   ," 18,878.67 ",
357 ,357 ,40 ,Milford                  ," 18,990.95 "," 20,955.69 "," 18,964.85 "," 19,420.89 ",
359 ,359 ,64 ,Milton                   ," 20,996.05 "," 17,981.33 "," 19,606.03 "," 19,924.66 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 21,481.50 "," 18,351.67 "," 18,158.65 "," 20,065.87 ",
365 ,365 ,23 ,Monroe                   ," 31,308.79 ", -   , -   ," 31,669.15 ",
367 ,367 ,39 ,Mont Vernon              ," 19,603.06 ", -   , -   ," 19,603.06 ",
369 ,369 ,45 ,Moultonborough           ," 30,676.66 "," 35,487.09 "," 34,446.23 "," 32,880.25 ",
371 ,371 ,42 ,Nashua                   ," 19,526.07 "," 18,287.95 "," 16,099.05 "," 18,107.16 ",
375 ,375 ,29 ,Nelson                   ," 24,409.23 ", -   , -   ," 24,409.23 ",
377 ,377 ,19 ,New Boston               ," 16,070.32 ", -   , -   ," 16,070.32 ",
381 ,381 ,50 ,New Castle               ," 41,753.80 ", -   , -   ," 41,753.80 ",
387 ,387 ,16 ,Newfields              ," 23,527.91 ", -   , -   ," 23,527.91 ",
388 ,0 ,4 ,Newfound Area," 21,529.61 "," 17,604.18 "," 19,123.92 "," 19,772.66 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 32,250.16 ", -   , -   ," 32,250.16 ",
399 ,399 ,31 ,Newmarket                ," 22,093.64 ", -   ," 25,008.48 "," 22,866.47 ",
401 ,401 ,43 ,Newport                  ," 22,435.89 "," 22,800.36 "," 23,009.32 "," 22,729.45 ",
405 ,405 ,21 ,North Hampton            ," 29,312.43 ", -   , -   ," 29,312.43 ",
407 ,407 ,58 ,Northumberland           ," 19,262.14 ", -   ," 22,485.63 "," 20,443.73 ",
411 ,411 ,44 ,Northwood                  ," 21,142.59 ", -   , -   ," 21,142.59 ",
413 ,413 ,44 ,Nottingham                ," 17,127.36 ", -   , -   ," 17,127.36 ",
423 ,0 ,5 ,Oyster River Cooperative," 21,608.90 "," 21,346.72 "," 21,574.20 "," 21,514.48 ",
425 ,425 ,28 ,Pelham                   ," 15,455.55 "," 19,164.66 "," 18,346.28 "," 17,255.52 ",
427 ,427 ,53 ,Pembroke                 ," 20,186.18 ", -   ," 16,283.11 "," 18,113.09 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 21,678.41 "," 21,678.41 ",
435 ,435 ,23 ,Piermont                 ," 26,352.39 ", -   , -   ," 26,866.89 ",
437 ,437 ,7 ,Pittsburg                ," 41,612.45 ", -   ," 35,740.70 "," 39,032.92 ",
439 ,439 ,51 ,Pittsfield               ," 24,692.31 "," 15,164.39 "," 19,788.08 "," 20,634.67 ",
441 ,441 ,32 ,Plainfield               ," 26,048.57 ", -   , -   ," 26,048.57 ",
447 ,447 ,48 ,Plymouth                 ," 24,101.03 ", -   , -   ," 24,101.03 ",
449 ,449 ,52 ,Portsmouth               ," 24,694.92 "," 24,161.50 "," 22,900.76 "," 23,838.28 ",
450 ,0 ,35 ,Profile  , -   ," 28,412.57 "," 26,850.22 "," 27,358.56 ",
453 ,453 ,33 ,Raymond                  ," 20,080.87 "," 18,864.38 "," 21,609.40 "," 20,068.43 ",
461 ,461 ,54 ,Rochester                ," 19,309.44 "," 15,880.26 "," 16,073.73 "," 17,423.70 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 26,436.02 ", -   , -   ," 26,436.02 ",
467 ,467 ,48 ,Rumney                   ," 35,423.64 ", -   , -   ," 35,423.64 ",
471 ,471 ,50 ,Rye                      ," 28,049.84 ", -   , -   ," 28,049.84 ",
473 ,473 ,57 ,Salem                    ," 17,589.63 "," 18,768.90 "," 19,492.35 "," 18,475.77 ",
476 ,0 ,17 ,Sanborn Regional," 24,986.07 "," 22,101.89 "," 23,947.68 "," 24,035.37 ",
485 ,485 ,21 ,Seabrook                 ," 24,963.43 ", -   , -   ," 24,963.43 ",
486 ,0 ,46 ,Shaker Regional," 20,673.80 "," 21,467.04 "," 19,514.93 "," 20,560.74 ",
491 ,491 ,56 ,Somersworth              ," 20,885.08 "," 17,354.86 "," 21,150.74 "," 20,038.35 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 24,264.00 "," 24,264.00 ",
495 ,495 ,21 ,South Hampton            ," 25,897.74 ", -   , -   ," 25,897.74 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 23,340.47 ", -   , -   ," 23,340.47 ",
501 ,501 ,7 ,Stewartstown             ," 38,035.78 ", -   , -   ," 38,294.85 ",
503 ,503 ,24 ,Stoddard                 ," 24,743.27 ", -   , -   ," 24,743.27 ",
507 ,507 ,44 ,Strafford                 ," 17,251.74 ", -   , -   ," 17,251.74 ",
509 ,509 ,58 ,Stratford                ," 26,660.29 ", -   , -   ," 26,660.29 ",
511 ,511 ,16 ,Stratham                  ," 24,131.02 ", -   , -   ," 24,131.02 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 26,880.45 "," 42,065.39 "," 30,925.02 "," 31,701.75 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 30,211.65 ", -   , -   ," 30,211.65 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 27,121.11 ", -   , -   ," 27,121.11 ",
534 ,0 ,55 ,Timberlane Regional," 18,938.92 "," 20,474.89 "," 21,304.64 "," 20,011.94 ",
539 ,539 ,6 ,Unity                    ," 23,656.37 ", -   , -   ," 23,656.37 ",
543 ,543 ,64 ,Wakefield                ," 16,516.19 ", -   , -   ," 16,516.19 ",
549 ,549 ,23 ,Warren                   ," 25,966.16 ", -   , -   ," 26,369.61 ",
551 ,551 ,34 ,Washington               ," 27,711.68 ", -   , -   ," 27,711.68 ",
553 ,553 ,48 ,Waterville Valley        ," 30,283.10 ", -   , -   ," 30,283.10 ",
555 ,555 ,24 ,Weare                    ," 19,427.67 "," 16,076.93 ", -   ," 17,434.28 ",
559 ,559 ,48 ,Wentworth                ," 24,485.40 ", -   , -   ," 24,485.40 ",
563 ,563 ,29 ,Westmoreland             ," 22,858.79 ", -   , -   ," 22,858.79 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 24,594.69 ", -   ," 25,145.29 "," 24,799.00 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 20,036.49 "," 19,299.93 "," 20,626.72 "," 20,022.87 ",
573 ,573 ,38 ,Winchester               ," 20,769.98 ", -   , -   ," 20,769.98 ",
575 ,575 ,28 ,Windham                  ," 16,506.60 "," 18,556.43 "," 16,932.17 "," 16,962.27 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 24,742.21 "," 24,742.21 ",
582 ,0 ,59 ,Winnisquam Regional," 22,759.64 "," 17,338.05 "," 18,445.31 "," 19,618.48 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
