,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 15, 2015",
343 ,0 ,62 ,Mascoma Valley Regional," 16,228.84 ", -   ," 17,656.71 "," 16,658.53 ",
,,,Mason," 17,241.06 ", -   , -   ," 17,241.06 ",
351 ,351 ,26 ,Merrimack                ," 14,935.83 "," 15,865.04 "," 14,462.97 "," 14,922.34 ",
352 ,0 ,46 ,Merrimack Valley," 13,270.87 "," 12,579.33 "," 12,642.56 "," 12,908.04 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
,,,,,,,,
355 ,355 ,20 ,Milan                    ," 13,045.53 ", -   , -   ," 13,045.53 ",
357 ,357 ,40 ,Milford                  ," 13,377.67 "," 13,001.21 "," 15,160.96 "," 13,875.47 ",
359 ,359 ,64 ,Milton                   ," 14,064.29 "," 17,442.66 "," 13,740.91 "," 14,700.37 ",
363 ,0 ,38 ,Monadnock Regional," 16,110.33 "," 16,300.48 "," 16,951.18 "," 16,404.63 ",
365 ,365 ,23 ,Monroe                   ," 24,377.57 ", -   , -   ," 24,377.57 ",
,,,,,,,,
367 ,367 ,39 ,Mont Vernon              ," 16,152.11 ", -   , -   ," 16,152.11 ",
369 ,369 ,45 ,Moultonborough           ," 22,748.92 "," 24,527.35 "," 24,623.47 "," 23,724.43 ",
371 ,371 ,42 ,Nashua                   ," 12,266.42 "," 12,331.18 "," 11,752.66 "," 12,116.66 ",
375 ,375 ,29 ,Nelson                   ," 18,714.17 ", -   , -   ," 18,714.17 ",
377 ,377 ,19 ,New Boston               ," 11,665.34 ", -   , -   ," 11,665.34 ",
,,,,,,,,
381 ,381 ,50 ,New Castle               ," 28,364.43 ", -   , -   ," 28,364.43 ",
387 ,387 ,16 ,Newfields                ," 16,194.94 ", -   , -   ," 16,194.94 ",
388 ,0 ,4 ,Newfound Area," 16,471.48 "," 15,520.69 "," 17,427.12 "," 16,519.45 ",
391 ,391 ,50 ,Newington                ," 30,407.08 ", -   , -   ," 30,407.08 ",
399 ,399 ,31 ,Newmarket                ," 14,012.87 ", -   ," 19,516.59 "," 15,295.85 ",
,,,,,,,,
401 ,401 ,43 ,Newport                  ," 14,834.54 "," 14,170.85 "," 16,980.56 "," 15,525.73 ",
405 ,405 ,21 ,North Hampton            ," 17,054.99 ", -   , -   ," 17,054.99 ",
407 ,407 ,58 ,Northumberland           ," 15,411.93 ", -   ," 12,950.79 "," 14,397.28 ",
411 ,411 ,44 ,Northwood                ," 13,846.77 ", -   , -   ," 13,846.77 ",
413 ,413 ,44 ,Nottingham               ," 13,026.01 ", -   , -   ," 13,026.01 ",
,,,,,,,,
423 ,0 ,5 ,Oyster River Cooperative," 17,277.03 "," 15,926.25 "," 17,334.77 "," 16,843.99 ",
425 ,425 ,28 ,Pelham                   ," 10,861.21 ", -   ," 12,056.82 "," 11,257.43 ",
427 ,427 ,53 ,Pembroke                 ," 14,709.32 ", -   ," 12,290.90 "," 13,458.46 ",
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 16,446.61 "," 16,446.61 ",
435 ,435 ,23 ,Piermont                 ," 18,480.18 ", -   , -   ," 18,480.18 ",
,,,,,,,,
437 ,437 ,7 ,Pittsburg                ," 25,764.53 ", -   ," 21,202.27 "," 23,685.26 ",
439 ,439 ,51 ,Pittsfield               ," 14,134.22 "," 17,224.89 "," 22,397.13 "," 17,083.13 ",
441 ,441 ,32 ,Plainfield               ," 19,977.48 ", -   , -   ," 19,977.48 ",
447 ,447 ,48 ,Plymouth                 ," 17,368.77 ", -   , -   ," 17,368.77 ",
449 ,449 ,52 ,Portsmouth               ," 16,519.52 "," 16,740.75 "," 16,350.93 "," 16,496.32 ",
450 ,0 ,35 ,Profile  , -   ," 23,616.31 "," 18,503.51 "," 20,226.06 ",
453 ,453 ,33 ,Raymond                  ," 13,336.90 "," 14,624.25 "," 14,497.94 "," 14,107.13 ",
461 ,461 ,54 ,Rochester                ," 13,978.75 "," 11,952.94 "," 11,981.59 "," 12,872.06 ",
463 ,463 ,56 ,Rollinsford              ," 21,123.19 ", -   , -   ," 21,123.19 ",
467 ,467 ,48 ,Rumney                   ," 21,141.51 ", -   , -   ," 21,141.51 ",
,,,,,,,,
471 ,471 ,50 ,Rye                      ," 18,834.30 ", -   , -   ," 18,834.30 ",
473 ,473 ,57 ,Salem                    ," 14,441.09 "," 12,017.36 "," 15,168.61 "," 14,099.14 ",
476 ,0 ,17 ,Sanborn Regional," 17,042.81 "," 14,928.89 "," 15,041.45 "," 15,795.47 ",
485 ,485 ,21 ,Seabrook                 ," 16,887.96 ", -   , -   ," 16,887.96 ",
486 ,0 ,46 ,Shaker Regional," 14,096.65 "," 14,619.60 "," 14,372.98 "," 14,337.72 ",
,,,,,,,,
491 ,491 ,56 ,Somersworth              ," 13,772.00 "," 13,070.50 "," 13,758.82 "," 13,591.70 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 18,085.89 "," 18,085.89 ",
495 ,495 ,21 ,South Hampton            ," 22,426.44 ", -   , -   ," 22,426.44 ",
499 ,499 ,58 ,Stark                    ," 17,287.70 ", -   , -   ," 17,287.70 ",
501 ,501 ,7 ,Stewartstown             ," 17,875.90 ", -   , -   ," 17,875.90 ",
,,,,,,,,
503 ,503 ,24 ,Stoddard                 ," 13,436.34 ", -   , -   ," 13,436.34 ",
507 ,507 ,44 ,Strafford                ," 13,802.00 ", -   , -   ," 13,802.00 ",
509 ,509 ,58 ,Stratford                ," 23,570.58 ", -   , -   ," 23,570.58 ",
511 ,511 ,16 ,Stratham                 ," 15,721.39 ", -   , -   ," 15,721.39 ",
,,,Sullivan, -   , -   , -   , -   ,
,,,,,,,,
515 ,515 ,43 ,Sunapee                  ," 19,487.77 "," 24,628.39 "," 25,083.69 "," 22,619.13 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 19,559.78 ", -   , -   ," 19,559.78 ",
531 ,531 ,48 ,Thornton                 ," 17,967.19 ", -   , -   ," 17,967.19 ",
534 ,0 ,55 ,Timberlane Regional," 15,481.14 "," 14,796.02 "," 14,205.40 "," 14,867.45 ",
,,,,,,,,
539 ,539 ,6 ,Unity                    ," 14,078.86 ", -   , -   ," 14,078.86 ",
543 ,543 ,64 ,Wakefield                ," 14,366.06 ", -   , -   ," 14,366.06 ",
549 ,549 ,23 ,Warren                   ," 21,424.54 ", -   , -   ," 21,424.54 ",
551 ,551 ,34 ,Washington               ," 16,447.91 ", -   , -   ," 16,447.91 ",
553 ,553 ,48 ,Waterville Valley        ," 29,284.33 ", -   , -   ," 29,284.33 ",
,,,,,,,,
555 ,555 ,24 ,Weare                    ," 12,072.26 "," 11,575.41 ", -   ," 11,818.72 ",
559 ,559 ,48 ,Wentworth                ," 17,874.54 ", -   , -   ," 17,874.54 ",
563 ,563 ,29 ,Westmoreland             ," 13,252.74 ", -   , -   ," 13,252.74 ",
568 ,0 ,36 ,White Mountains Regional," 15,114.52 ", -   ," 16,832.00 "," 15,699.98 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 18,359.26 "," 17,092.86 "," 17,899.95 "," 17,929.56 ",
573 ,573 ,38 ,Winchester               ," 15,679.05 ", -   , -   ," 15,679.05 ",
,,,,,,,,
575 ,575 ,28 ,Windham                  ," 12,575.31 ", -   ," 13,449.10 "," 12,826.58 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 17,217.96 "," 17,217.96 ",
582 ,0 ,59 ,Winnisquam Regional," 14,914.62 "," 13,811.46 "," 14,613.38 "," 14,542.62 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,RML,,,,,
,,,66  (18.20),,,,,
