,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 21, 2020",
175 ,175 ,61 ,Farmington               ," 18,534.79 ", -   ," 17,744.20 "," 18,288.33 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 14,774.23 ", -   ," 18,716.46 "," 15,835.84 ",
187 ,187 ,13 ,Freedom                  ," 33,344.72 ", -   , -   ," 33,344.72 ",
189 ,189 ,14 ,Fremont                  ," 16,545.22 ", -   , -   ," 16,545.22 ",
191 ,191 ,30 ,Gilford                  ," 19,634.98 "," 18,501.21 "," 19,828.15 "," 19,382.18 ",
195 ,195 ,30 ,Gilmanton                ," 15,739.43 ", -   , -   ," 15,739.43 ",
199 ,199 ,19 ,Goffstown                ," 14,399.37 "," 13,104.24 "," 14,969.55 "," 14,198.32 ",
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 18,091.68 "," 17,680.68 "," 19,192.30 "," 18,366.22 ",
207 ,0 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 18,862.36 "," 19,424.44 "," 17,674.62 "," 18,542.00 ",
211 ,211 ,32 ,Grantham                 ," 21,526.43 ", -   , -   ," 21,526.43 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 15,532.41 ", -   , -   ," 15,532.41 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 19,805.81 "," 19,387.85 ", -   ," 19,610.03 ",
225 ,225 ,21 ,Hampton                  ," 18,692.26 ", -   , -   ," 18,692.26 ",
227 ,227 ,21 ,Hampton Falls            ," 26,334.77 ", -   , -   ," 26,334.77 ",
233 ,233 ,22 ,Hanover                  ," 21,088.21 ", -   , -   ," 21,088.21 ",
235 ,235 ,29 ,Harrisville              ," 20,742.19 ", -   , -   ," 20,742.19 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 17,966.21 "," 17,982.52 "," 19,167.31 "," 18,356.54 ",
245 ,245 ,24 ,Henniker              ," 17,252.00 ", -   , -   ," 17,252.00 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 20,658.93 ", -   , -   ," 20,658.93 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 20,098.63 "," 17,164.19 "," 21,039.75 "," 19,636.08 ",
255 ,255 ,38 ,Hinsdale                 ," 19,624.23 "," 22,609.94 "," 25,397.88 "," 21,791.39 ",
257 ,257 ,48 ,Holderness               ," 24,688.56 ", -   , -   ," 24,688.56 ",
259 ,259 ,41 ,Hollis                   ," 18,039.04 ", -   , -   ," 18,039.04 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 18,300.51 "," 14,866.32 "," 15,932.30 ",
261 ,261 ,15 ,Hooksett                 ," 15,653.02 "," 15,886.38 ", -   ," 15,743.69 ",
263 ,263 ,66 ,Hopkinton                ," 18,391.22 "," 16,726.60 "," 17,597.38 "," 17,859.33 ",
267 ,267 ,27 ,Hudson                   ," 15,425.49 "," 14,641.35 "," 15,987.84 "," 15,432.35 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 23,028.24 ", -   ," 26,655.68 "," 24,096.93 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 30,282.52 ", -   , -   ," 30,282.52 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 15,456.17 "," 13,833.51 "," 15,056.29 "," 14,970.82 ",
275 ,0 ,24 ,John Stark Regional  , -   , -   ," 19,192.07 "," 19,192.07 ",
276 ,0 ,65 ,Kearsarge Regional," 19,981.12 "," 21,669.87 "," 21,924.65 "," 20,956.54 ",
279 ,279 ,29 ,Keene                    ," 18,604.92 "," 12,710.32 "," 15,317.40 "," 15,860.06 ",
281 ,281 ,16 ,Kensington          ," 20,929.48 ", -   , -   ," 20,929.48 ",
285 ,285 ,30 ,Laconia                  ," 17,142.38 "," 15,318.71 "," 18,861.88 "," 17,222.77 ",
288 ,0 ,35 ,Lafayette Regional," 23,797.93 ", -   , -   ," 23,797.93 ",
291 ,291 ,35 ,Landaff                  ," 8,950.20 ", -   , -   ," 8,950.20 ",
295 ,295 ,32 ,Lebanon                  ," 26,154.26 "," 20,863.71 "," 20,838.71 "," 22,594.37 ",
,,,,,,,,
,,,Lempster," 21,005.67 ", -   , -   ," 21,005.67 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 27,918.15 "," 25,420.90 "," 26,620.17 "," 26,874.01 ",
306 ,0 ,35 ,Lisbon Regional," 15,826.00 "," 19,142.30 "," 20,929.26 "," 17,876.54 ",
315 ,315 ,27 ,Litchfield               ," 15,635.80 "," 15,817.72 "," 16,180.70 "," 15,871.38 ",
317 ,317 ,35 ,Littleton                ," 20,557.52 "," 14,141.43 "," 22,927.54 "," 20,251.79 ",
319 ,319 ,12 ,Londonderry              ," 18,621.15 "," 16,664.11 "," 16,941.01 "," 17,566.86 ",
327 ,327 ,22 ,Lyme                     ," 23,474.76 ", -   , -   ," 23,474.76 ",
333 ,333 ,13 ,Madison                  ," 22,283.65 ", -   , -   ," 22,283.65 ",
335 ,335 ,37 ,Manchester               ," 12,201.20 "," 12,443.90 "," 12,786.82 "," 12,434.23 ",
339 ,339 ,29 ,Marlboro                 ," 20,571.66 ", -   , -   ," 20,571.66 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 18,750.94 ", -   , -   ," 18,750.94 ",
342 ,0 ,63 ,Mascenic Regional," 12,943.01 "," 14,512.51 "," 17,311.04 "," 14,732.25 ",
343 ,0 ,62 ,Mascoma Valley Regional," 20,456.59 ", -   ," 22,087.72 "," 20,935.59 ",
,,,Mason," 20,192.42 ", -   , -   ," 20,192.42 ",
351 ,351 ,26 ,Merrimack                ," 16,575.12 "," 17,876.85 "," 17,138.92 "," 16,947.85 ",
352 ,0 ,46 ,Merrimack Valley," 16,360.47 "," 15,276.55 "," 15,031.16 "," 15,666.57 ",
353 ,353 ,61 ,Middleton                ," 15,696.50 ", -   , -   ," 15,696.50 ",
355 ,355 ,20 ,Milan                    ," 13,738.92 ", -   , -   ," 13,738.92 ",
357 ,357 ,40 ,Milford                  ," 16,379.70 "," 16,546.61 "," 16,519.57 "," 16,469.13 ",
359 ,359 ,64 ,Milton                   ," 17,124.20 "," 16,501.59 "," 20,495.49 "," 17,835.79 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 18,467.13 "," 17,312.51 "," 18,184.03 "," 18,224.88 ",
365 ,365 ,23 ,Monroe                   ," 27,870.45 ", -   , -   ," 27,870.45 ",
367 ,367 ,39 ,Mont Vernon              ," 16,783.72 ", -   , -   ," 16,783.72 ",
369 ,369 ,45 ,Moultonborough           ," 27,712.56 "," 22,978.77 "," 26,120.96 "," 25,824.22 ",
371 ,371 ,42 ,Nashua                   ," 15,240.75 "," 13,618.76 "," 12,032.71 "," 13,831.18 ",
375 ,375 ,29 ,Nelson                   ," 15,558.83 ", -   , -   ," 15,558.83 ",
377 ,377 ,19 ,New Boston               ," 12,791.44 ", -   , -   ," 12,791.44 ",
381 ,381 ,50 ,New Castle               ," 30,214.92 ", -   , -   ," 30,214.92 ",
387 ,387 ,16 ,Newfields                 ," 23,204.10 ", -   , -   ," 23,204.10 ",
388 ,0 ,4 ,Newfound Area," 16,861.52 "," 17,100.15 "," 17,058.33 "," 16,982.40 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 28,921.77 ", -   , -   ," 28,921.77 ",
399 ,399 ,31 ,Newmarket                ," 16,012.09 ", -   ," 15,061.49 "," 15,765.62 ",
401 ,401 ,43 ,Newport                  ," 18,467.69 "," 17,353.06 "," 18,694.26 "," 18,282.54 ",
405 ,405 ,21 ,North Hampton            ," 24,444.54 ", -   , -   ," 24,444.54 ",
407 ,407 ,58 ,Northumberland           ," 16,006.60 ", -   ," 16,829.39 "," 16,309.77 ",
411 ,411 ,44 ,Northwood                 ," 15,877.05 ", -   , -   ," 15,877.05 ",
413 ,413 ,44 ,Nottingham              ," 14,755.74 ", -   , -   ," 14,755.74 ",
423 ,0 ,5 ,Oyster River Cooperative," 18,390.08 "," 18,166.86 "," 18,130.24 "," 18,223.61 ",
425 ,425 ,28 ,Pelham                   ," 14,361.69 ", -   ," 15,324.48 "," 14,685.48 ",
427 ,427 ,53 ,Pembroke                 ," 17,198.13 ", -   ," 14,546.25 "," 15,822.37 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 20,215.58 "," 20,215.58 ",
435 ,435 ,23 ,Piermont                 ," 18,014.79 ", -   , -   ," 18,014.79 ",
437 ,437 ,7 ,Pittsburg                ," 37,164.94 ", -   ," 31,022.20 "," 34,562.06 ",
439 ,439 ,51 ,Pittsfield               ," 16,333.62 "," 14,185.37 "," 21,132.19 "," 17,165.34 ",
441 ,441 ,32 ,Plainfield               ," 19,938.51 ", -   , -   ," 19,938.51 ",
447 ,447 ,48 ,Plymouth                 ," 17,999.60 ", -   , -   ," 17,999.60 ",
449 ,449 ,52 ,Portsmouth               ," 20,159.43 "," 20,089.14 "," 18,058.61 "," 19,236.41 ",
450 ,0 ,35 ,Profile  , -   ," 19,780.99 "," 27,355.10 "," 24,195.28 ",
453 ,453 ,33 ,Raymond                  ," 15,366.31 "," 17,085.01 "," 19,747.56 "," 17,099.86 ",
461 ,461 ,54 ,Rochester                ," 15,293.85 "," 13,399.25 "," 13,510.50 "," 14,291.66 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 20,354.88 ", -   , -   ," 20,354.88 ",
467 ,467 ,48 ,Rumney                   ," 30,950.67 ", -   , -   ," 30,950.67 ",
471 ,471 ,50 ,Rye                      ," 26,039.02 ", -   , -   ," 26,039.02 ",
473 ,473 ,57 ,Salem                    ," 16,071.07 "," 16,507.90 "," 17,263.75 "," 16,577.77 ",
476 ,0 ,17 ,Sanborn Regional," 20,412.61 "," 18,398.17 "," 17,993.68 "," 19,016.47 ",
485 ,485 ,21 ,Seabrook                 ," 19,530.86 ", -   , -   ," 19,530.86 ",
486 ,0 ,46 ,Shaker Regional," 17,577.97 "," 14,648.54 "," 17,216.04 "," 16,531.92 ",
491 ,491 ,56 ,Somersworth              ," 15,651.38 "," 15,580.66 "," 16,337.19 "," 15,833.24 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 21,446.77 "," 21,446.77 ",
495 ,495 ,21 ,South Hampton            ," 23,374.96 ", -   , -   ," 23,374.96 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 21,008.36 ", -   , -   ," 21,008.36 ",
501 ,501 ,7 ,Stewartstown             ," 23,172.99 ", -   , -   ," 23,172.99 ",
503 ,503 ,24 ,Stoddard                ," 17,746.67 ", -   , -   ," 17,746.67 ",
507 ,507 ,44 ,Strafford                ," 14,475.18 ", -   , -   ," 14,475.18 ",
509 ,509 ,58 ,Stratford                ," 27,559.86 ", -   , -   ," 27,559.86 ",
511 ,511 ,16 ,Stratham                 ," 19,779.28 ", -   , -   ," 19,779.28 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 24,140.72 "," 30,582.79 "," 27,533.84 "," 26,918.95 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 24,296.87 ", -   , -   ," 24,296.87 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 20,492.77 ", -   , -   ," 20,492.77 ",
534 ,0 ,55 ,Timberlane Regional," 18,162.46 "," 17,436.79 "," 18,590.63 "," 18,120.83 ",
539 ,539 ,6 ,Unity                    ," 19,392.76 ", -   , -   ," 19,392.76 ",
543 ,543 ,64 ,Wakefield                ," 14,855.29 ", -   , -   ," 14,855.29 ",
549 ,549 ,23 ,Warren                   ," 22,123.08 ", -   , -   ," 22,123.08 ",
551 ,551 ,34 ,Washington               ," 17,915.34 ", -   , -   ," 17,915.34 ",
553 ,553 ,48 ,Waterville Valley        ," 57,058.09 ", -   , -   ," 57,058.09 ",
555 ,555 ,24 ,Weare                   ," 12,798.87 "," 16,735.54 ", -   ," 14,257.57 ",
559 ,559 ,48 ,Wentworth                ," 20,159.47 ", -   , -   ," 20,159.47 ",
563 ,563 ,29 ,Westmoreland             ," 17,676.73 ", -   , -   ," 17,676.73 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 17,425.81 ", -   ," 20,667.96 "," 18,506.87 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 18,100.81 "," 20,936.58 "," 18,070.32 "," 18,678.08 ",
573 ,573 ,38 ,Winchester               ," 19,581.72 ", -   , -   ," 19,581.72 ",
575 ,575 ,28 ,Windham                  ," 15,061.65 ", -   ," 15,987.25 "," 15,363.22 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 21,429.96 "," 21,429.96 ",
582 ,0 ,59 ,Winnisquam Regional," 17,688.58 "," 16,445.43 "," 17,996.98 "," 17,464.29 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,MRW,,,,,
,,,66  (18.20),,,,,
