,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 29, 2010",
,,,,,,,,
153 ,153 ,16 ,East Kingston            ," 12,197.58 ", -   , -   ," 12,197.58 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 13,130.19 "," 13,604.60 "," 15,125.45 "," 13,850.92 ",
167 ,167 ,53 ,Epsom                    ," 11,456.03 ", -   , -   ," 11,456.03 ",
,,,,,,,,
171 ,171 ,20 ,Errol                    ," 20,313.82 ", -   , -   ," 20,313.82 ",
173 ,173 ,16 ,Exeter                   ," 13,905.62 ", -   , -   ," 13,905.62 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 11,123.78 "," 12,552.78 "," 11,926.40 ",
174 ,0 ,60 ,Fall Mountain Regional," 11,884.94 ", -   ," 12,943.91 "," 12,252.69 ",
175 ,175 ,61 ,Farmington               ," 9,455.60 ", -   ," 10,702.59 "," 9,829.09 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 8,457.48 "," 8,063.17 "," 8,901.36 "," 8,471.58 ",
187 ,187 ,13 ,Freedom                  ," 18,889.37 ", -   , -   ," 18,889.37 ",
189 ,189 ,14 ,Fremont                  ," 11,262.62 ", -   , -   ," 11,262.62 ",
191 ,191 ,30 ,Gilford                  ," 18,575.14 "," 14,093.29 "," 13,940.65 "," 15,237.51 ",
195 ,195 ,30 ,Gilmanton                ," 11,623.29 ", -   , -   ," 11,623.29 ",
,,,,,,,,
199 ,199 ,19 ,Goffstown                ," 10,537.73 "," 8,548.87 "," 9,800.28 "," 9,579.31 ",
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 12,769.46 "," 11,989.52 "," 13,425.98 "," 12,824.81 ",
207 ,0 ,43 ,Goshen-Lempster Coop," 13,175.50 ", -   , -   ," 13,175.50 ",
208 ,0 ,49 ,Gov Wentworth Regional," 13,059.47 "," 14,216.09 "," 12,048.48 "," 12,886.26 ",
211 ,211 ,32 ,Grantham                 ," 13,493.29 ", -   , -   ," 13,493.29 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 12,734.53 ", -   , -   ," 12,734.53 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 13,772.26 ", -   , -   ," 13,772.26 ",
225 ,225 ,21 ,Hampton                  ," 12,828.11 "," 13,629.56 ", -   ," 13,111.02 ",
227 ,227 ,21 ,Hampton Falls            ," 15,819.88 ", -   , -   ," 15,819.88 ",
,,,,,,,,
233 ,233 ,22 ,Hanover                  ," 15,592.50 ", -   , -   ," 15,592.50 ",
235 ,235 ,29 ,Harrisville              ," 21,316.90 ", -   , -   ," 21,316.90 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 12,224.47 "," 13,554.01 "," 15,760.78 "," 13,904.42 ",
245 ,245 ,24 ,Henniker                 ," 13,219.12 ", -   , -   ," 13,219.12 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 10,568.03 ", -   , -   ," 10,568.03 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 12,593.58 "," 12,576.05 "," 12,966.73 "," 12,714.59 ",
255 ,255 ,38 ,Hinsdale                 ," 12,267.21 "," 13,227.01 "," 13,123.73 "," 12,782.22 ",
257 ,257 ,48 ,Holderness               ," 16,234.76 ", -   , -   ," 16,234.76 ",
259 ,259 ,41 ,Hollis                   ," 13,625.08 ", -   , -   ," 13,625.08 ",
,,,,,,,,
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 11,576.35 "," 10,498.86 "," 10,852.96 ",
261 ,261 ,15 ,Hooksett                 ," 9,499.98 "," 9,689.90 ", -   ," 9,568.96 ",
263 ,263 ,66 ,Hopkinton                ," 15,196.48 "," 13,553.90 "," 13,740.93 "," 14,386.72 ",
267 ,267 ,27 ,Hudson                   ," 8,636.06 "," 8,388.28 "," 9,279.52 "," 8,808.63 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 15,336.20 ", -   ," 14,774.09 "," 15,131.65 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 16,369.09 ", -   , -   ," 16,369.09 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 11,042.32 "," 12,526.44 "," 11,429.87 "," 11,496.83 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 12,102.13 "," 12,102.13 ",
276 ,0 ,65 ,Kearsarge Regional," 13,075.50 "," 15,731.30 "," 12,830.47 "," 13,601.07 ",
279 ,279 ,29 ,Keene                    ," 15,133.73 "," 12,551.75 "," 11,204.92 "," 12,798.21 ",
281 ,281 ,16 ,Kensington               ," 12,019.49 ", -   , -   ," 12,019.49 ",
285 ,285 ,30 ,Laconia                  ," 12,095.97 "," 12,566.33 "," 11,670.12 "," 12,039.53 ",
288 ,0 ,35 ,Lafayette Regional," 18,626.37 ", -   , -   ," 18,626.37 ",
291 ,291 ,35 ,Landaff                  ," 11,752.58 ", -   , -   ," 11,752.58 ",
,,,,,,,,
295 ,295 ,32 ,Lebanon                  ," 19,051.06 "," 14,731.09 "," 13,883.88 "," 16,212.99 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 14,639.51 "," 13,903.71 "," 18,110.75 "," 15,505.77 ",
306 ,0 ,35 ,Lisbon Regional," 12,293.64 "," 11,510.09 "," 12,217.53 "," 12,061.87 ",
315 ,315 ,27 ,Litchfield               ," 10,392.57 "," 9,468.60 "," 12,037.38 "," 10,631.82 ",
317 ,317 ,35 ,Littleton                ," 13,625.47 "," 15,583.80 "," 16,127.04 "," 14,774.05 ",
,,,,,,,,
319 ,319 ,12 ,Londonderry              ," 11,898.98 "," 10,169.56 "," 10,730.64 "," 11,058.70 ",
327 ,327 ,22 ,Lyme                     ," 13,689.69 ", -   , -   ," 13,689.69 ",
329 ,329 ,63 ,Lyndeborough             ," 11,946.24 ", -   , -   ," 11,946.24 ",
333 ,333 ,13 ,Madison                  ," 16,036.57 ", -   , -   ," 16,036.57 ",
335 ,335 ,37 ,Manchester               ," 10,177.66 "," 9,481.81 "," 8,739.66 "," 9,489.80 ",
,,,,,,,,
339 ,339 ,29 ,Marlboro                 ," 15,074.78 ", -   , -   ," 15,074.78 ",
341 ,341 ,29 ,Marlow                   ," 17,565.22 ", -   , -   ," 17,565.22 ",
342 ,0 ,63 ,Mascenic Regional," 10,702.92 "," 9,296.06 "," 10,647.33 "," 10,234.98 ",
343 ,0 ,62 ,Mascoma Valley Regional," 11,610.71 ", -   ," 12,096.26 "," 11,763.26 ",
351 ,351 ,26 ,Merrimack                ," 11,804.62 "," 11,271.36 "," 11,762.74 "," 11,698.39 ",
,,,,,,,,
352 ,0 ,46 ,Merrimack Valley," 11,428.91 "," 10,774.20 "," 10,545.51 "," 10,978.57 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
355 ,355 ,20 ,Milan                    ," 11,350.10 ", -   , -   ," 11,350.10 ",
357 ,357 ,40 ,Milford                  ," 10,577.52 "," 11,305.27 "," 11,872.35 "," 11,205.24 ",
359 ,359 ,64 ,Milton                   ," 13,010.40 "," 11,612.73 "," 10,364.60 "," 11,797.37 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 15,812.80 "," 11,846.79 "," 14,273.48 "," 14,658.15 ",
365 ,365 ,23 ,Monroe                   ," 18,507.36 ", -   , -   ," 18,507.36 ",
367 ,367 ,39 ,Mont Vernon              ," 11,744.88 ", -   , -   ," 11,744.88 ",
369 ,369 ,45 ,Moultonborough           ," 18,470.92 "," 17,111.57 "," 16,854.83 "," 17,647.01 ",
371 ,371 ,42 ,Nashua                   ," 10,206.69 "," 10,473.53 "," 9,518.96 "," 10,031.53 ",
,,,,,,,,
375 ,375 ,29 ,Nelson                   ," 18,169.27 ", -   , -   ," 18,169.27 ",
377 ,377 ,19 ,New Boston               ," 8,925.54 ", -   , -   ," 8,925.54 ",
381 ,381 ,50 ,New Castle               ," 19,247.07 ", -   , -   ," 19,247.07 ",
387 ,387 ,16 ,Newfields                ," 11,331.67 ", -   , -   ," 11,331.67 ",
388 ,0 ,4 ,Newfound Area," 15,231.24 "," 12,656.44 "," 14,256.56 "," 14,272.37 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 24,712.68 ", -   , -   ," 24,712.68 ",
399 ,399 ,31 ,Newmarket                ," 13,396.76 ", -   ," 13,231.53 "," 13,347.09 ",
401 ,401 ,43 ,Newport                  ," 11,168.31 "," 11,704.97 "," 14,585.99 "," 12,574.31 ",
405 ,405 ,21 ,North Hampton            ," 15,285.62 ", -   , -   ," 15,285.62 ",
407 ,407 ,58 ,Northumberland           ," 12,991.70 ", -   ," 12,388.38 "," 12,754.54 ",
,,,,,,,,
411 ,411 ,44 ,Northwood                ," 13,084.78 ", -   , -   ," 13,084.78 ",
413 ,413 ,44 ,Nottingham               ," 10,180.13 ", -   , -   ," 10,180.13 ",
423 ,0 ,5 ,Oyster River Cooperative," 15,652.17 "," 15,651.84 "," 15,425.04 "," 15,573.92 ",
425 ,425 ,28 ,Pelham                   ," 8,044.87 ", -   ," 10,559.86 "," 8,808.18 ",
427 ,427 ,53 ,Pembroke                 ," 12,168.21 ", -   ," 10,472.49 "," 11,250.73 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 13,656.80 "," 13,656.80 ",
435 ,435 ,23 ,Piermont                 ," 16,390.82 ", -   , -   ," 16,390.82 ",
437 ,437 ,7 ,Pittsburg                ," 15,294.14 ", -   ," 25,597.37 "," 18,328.80 ",
439 ,439 ,51 ,Pittsfield               ," 13,500.52 "," 14,545.92 "," 16,751.76 "," 14,643.50 ",
441 ,441 ,32 ,Plainfield               ," 15,242.87 ", -   , -   ," 15,242.87 ",
447 ,447 ,48 ,Plymouth                 ," 15,740.45 ", -   , -   ," 15,740.45 ",
449 ,449 ,52 ,Portsmouth               ," 14,204.18 "," 13,492.55 "," 14,553.39 "," 14,194.09 ",
450 ,0 ,35 ,Profile  , -   ," 16,735.52 "," 16,478.79 "," 16,578.76 ",
453 ,453 ,33 ,Raymond                  ," 11,826.27 "," 12,391.86 "," 14,718.00 "," 12,860.92 ",
,,,,,,,,
461 ,461 ,54 ,Rochester                ," 12,081.83 "," 9,587.89 "," 9,646.72 "," 10,656.52 ",
463 ,463 ,56 ,Rollinsford              ," 13,706.50 ", -   , -   ," 13,706.50 ",
467 ,467 ,48 ,Rumney                   ," 16,049.34 ", -   , -   ," 16,049.34 ",
471 ,471 ,50 ,Rye                      ," 14,953.07 ", -   , -   ," 14,953.07 ",
473 ,473 ,57 ,Salem                    ," 10,337.47 "," 8,346.68 "," 8,858.97 "," 9,240.25 ",
,,,,,,,,
476 ,0 ,17 ,Sanborn Regional," 13,069.82 "," 12,674.85 "," 11,952.39 "," 12,551.03 ",
485 ,485 ,21 ,Seabrook                 ," 15,520.41 "," 12,558.54 ", -   ," 14,049.71 ",
486 ,0 ,46 ,Shaker Regional," 11,905.10 "," 11,109.63 "," 11,032.93 "," 11,380.44 ",
491 ,491 ,56 ,Somersworth              ," 11,166.71 "," 10,414.52 "," 11,083.11 "," 10,903.46 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 15,144.02 "," 15,144.02 ",
,,,,,,,,
495 ,495 ,21 ,South Hampton            ," 15,972.14 ", -   , -   ," 15,972.14 ",
499 ,499 ,58 ,Stark                    ," 16,173.50 ", -   , -   ," 16,173.50 ",
501 ,501 ,7 ,Stewartstown             ," 12,907.18 ", -   , -   ," 12,907.18 ",
503 ,503 ,24 ,Stoddard                 ," 18,873.53 ", -   , -   ," 18,873.53 ",
507 ,507 ,44 ,Strafford                ," 12,316.54 ", -   , -   ," 12,316.54 ",
,,,,,,,,
509 ,509 ,58 ,Stratford                ," 15,883.29 ", -   ," 19,932.10 "," 17,230.48 ",
511 ,511 ,16 ,Stratham                 ," 12,961.92 ", -   , -   ," 12,961.92 ",
515 ,515 ,43 ,Sunapee                  ," 15,302.26 "," 21,457.37 "," 16,628.62 "," 17,224.79 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 18,755.51 ", -   , -   ," 18,755.51 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 13,697.84 ", -   , -   ," 13,697.84 ",
534 ,0 ,55 ,Timberlane Regional," 11,475.43 "," 11,265.80 "," 11,108.27 "," 11,298.11 ",
539 ,539 ,6 ,Unity                    ," 10,239.62 ", -   , -   ," 10,239.62 ",
543 ,543 ,64 ,Wakefield                ," 11,283.56 ", -   , -   ," 11,283.56 ",
549 ,549 ,23 ,Warren                   ," 14,210.48 ", -   , -   ," 14,210.48 ",
,,,,,,,,
551 ,551 ,34 ,Washington               ," 13,467.60 ", -   , -   ," 13,467.60 ",
553 ,553 ,48 ,Waterville Valley        ," 26,171.28 ", -   , -   ," 26,171.28 ",
555 ,555 ,24 ,Weare                    ," 9,578.42 "," 9,099.80 ", -   ," 9,333.82 ",
559 ,559 ,48 ,Wentworth                ," 16,474.61 ", -   , -   ," 16,474.61 ",
563 ,563 ,29 ,Westmoreland             ," 11,859.66 ", -   , -   ," 11,859.66 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 12,248.87 ", -   ," 12,905.64 "," 12,480.62 ",
571 ,571 ,63 ,Wilton                   ," 10,259.28 ", -   , -   ," 10,259.28 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative, -   ," 14,728.51 "," 11,997.49 "," 12,905.38 ",
573 ,573 ,38 ,Winchester               ," 12,510.08 ", -   , -   ," 12,510.08 ",
575 ,575 ,28 ,Windham                  ," 11,201.65 ", -   , -   ," 11,201.65 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 13,781.24 "," 13,781.24 ",
582 ,0 ,59 ,Winnisquam Regional," 12,141.32 "," 13,157.26 "," 10,774.67 "," 11,902.42 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,66  (18.20),,,,,
