,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 7, 2025",
57 ,57 ,67 ,Bow                      ," 17,685.31 "," 17,148.97 "," 20,186.53 "," 18,395.09 ",
63 ,63 ,16 ,Brentwood             ," 21,591.25 ", -   , -   ," 21,591.25 ",
71 ,71 ,41 ,Brookline                ," 18,014.34 ", -   , -   ," 18,014.34 ",
75 ,75 ,48 ,Campton                  ," 25,482.33 ", -   , -   ," 25,482.33 ",
79 ,79 ,15 ,Candia                   ," 22,480.32 ", -   , -   ," 22,480.32 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 17,396.71 ", -   , -   ," 17,396.71 ",
95 ,95 ,29 ,Chesterfield             ," 24,143.07 ", -   , -   ," 24,143.07 ",
99 ,99 ,53 ,Chichester               ," 23,665.11 ", -   , -   ," 23,665.11 ",
101 ,101 ,6 ,Claremont                ," 24,301.52 "," 20,108.52 "," 23,962.15 "," 23,287.57 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 21,304.48 ", -   ," 26,055.32 "," 23,006.96 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 26,228.37 "," 22,363.17 "," 20,293.70 "," 23,159.22 ",
112 ,0 ,1 ,Contoocook Valley," 28,007.97 "," 25,348.21 "," 25,624.76 "," 26,428.09 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 25,531.93 "," 23,349.69 "," 21,112.46 "," 23,169.38 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 30,960.10 ", -   , -   ," 30,960.10 ",
117 ,117 ,43 ,Croydon                  ," 32,102.87 ", -   , -   ," 32,102.87 ",
127 ,127 ,53 ,Deerfield                ," 22,908.41 ", -   , -   ," 22,908.41 ",
131 ,131 ,10 ,Derry  Cooperative," 20,564.89 "," 21,896.76 ", -   ," 21,027.50 ",
141 ,141 ,11 ,Dover                    ," 20,515.96 "," 16,955.23 "," 18,159.97 "," 18,618.38 ",
142 ,0 ,22 ,Dresden ," 25,933.99 ", -   ," 25,958.99 "," 25,950.24 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 18,142.92 ", -   , -   ," 18,142.92 ",
153 ,153 ,16 ,East Kingston             ," 27,740.37 ", -   , -   ," 27,740.37 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 20,445.81 "," 24,136.74 "," 26,654.31 "," 22,721.56 ",
167 ,167 ,53 ,Epsom                    ," 24,415.00 ", -   , -   ," 24,415.00 ",
171 ,171 ,20 ,Errol                    ," 30,355.44 ", -   , -   ," 30,355.44 ",
173 ,173 ,16 ,Exeter      ," 28,218.18 ", -   , -   ," 28,218.18 ",
172 ,0 ,16 ,Exeter Regional Cooperative  , -   ," 25,961.08 "," 22,656.03 "," 23,933.78 ",
174 ,0 ,60 ,Fall Mountain Regional," 26,299.47 ", -   ," 19,950.97 "," 24,081.31 ",
175 ,175 ,61 ,Farmington               ," 21,361.41 ", -   ," 25,731.83 "," 22,655.29 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 21,382.57 ", -   ," 21,652.94 "," 21,463.69 ",
187 ,187 ,13 ,Freedom                  ," 35,274.76 ", -   , -   ," 35,274.76 ",
189 ,189 ,14 ,Fremont                  ," 20,375.94 ", -   , -   ," 20,375.94 ",
191 ,191 ,30 ,Gilford                  ," 24,210.60 "," 24,915.53 "," 21,839.66 "," 23,377.26 ",
195 ,195 ,30 ,Gilmanton                ," 20,744.53 ", -   , -   ," 20,744.53 ",
199 ,199 ,19 ,Goffstown                ," 18,675.80 "," 15,913.05 "," 16,816.21 "," 17,078.83 ",
203 ,0 ,20 ,Gorham Randolph Shelburne Coop," 23,208.34 "," 20,129.32 "," 22,852.98 "," 22,359.51 ",
204 ,203 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 25,808.28 "," 23,227.26 "," 22,995.97 "," 24,370.32 ",
211 ,211 ,32 ,Grantham                 ," 24,395.80 ", -   , -   ," 24,395.80 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 23,589.59 ", -   , -   ," 23,439.22 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 25,559.09 "," 28,290.31 ", -   ," 26,753.64 ",
225 ,225 ,21 ,Hampton                  ," 24,973.27 ", -   , -   ," 24,973.27 ",
227 ,227 ,21 ,Hampton Falls            ," 33,743.34 ", -   , -   ," 33,743.34 ",
233 ,233 ,22 ,Hanover                  ," 25,447.31 ", -   , -   ," 25,447.31 ",
235 ,235 ,29 ,Harrisville              ," 33,931.97 ", -   , -   ," 33,931.97 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 24,288.14 "," 20,979.08 "," 22,504.79 "," 22,463.22 ",
245 ,245 ,24 ,Henniker                ," 22,023.00 ", -   , -   ," 22,023.00 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 20,430.04 ", -   , -   ," 20,430.04 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 24,036.82 "," 25,079.45 "," 24,632.20 "," 24,481.91 ",
255 ,255 ,38 ,Hinsdale                 ," 24,852.48 "," 24,396.85 "," 25,826.26 "," 25,047.27 ",
257 ,257 ,48 ,Holderness               ," 28,889.95 ", -   , -   ," 28,889.95 ",
259 ,259 ,41 ,Hollis                   ," 21,006.67 ", -   , -   ," 21,006.67 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 19,897.46 "," 21,689.73 "," 21,086.14 ",
261 ,261 ,15 ,Hooksett                 ," 18,835.73 "," 20,173.11 ", -   ," 19,284.81 ",
263 ,263 ,66 ,Hopkinton                ," 23,534.86 "," 21,706.96 "," 21,076.22 "," 22,423.67 ",
267 ,267 ,27 ,Hudson                   ," 18,591.42 "," 18,365.99 "," 18,696.49 "," 18,576.65 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 30,980.28 ", -   ," 34,388.55 "," 31,986.71 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 42,514.09 ", -   , -   ," 42,514.09 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 23,091.38 "," 19,647.55 "," 17,390.70 "," 20,655.71 ",
275 ,0 ,24 ,John Stark Regional  , -   , -   ," 21,047.49 "," 21,047.49 ",
276 ,0 ,65 ,Kearsarge Regional," 26,065.62 "," 24,258.44 "," 27,269.34 "," 25,963.50 ",
279 ,279 ,29 ,Keene                    ," 22,876.12 "," 18,762.78 "," 16,875.66 "," 19,377.50 ",
281 ,281 ,16 ,Kensington               ," 27,353.78 ", -   , -   ," 27,353.78 ",
285 ,285 ,30 ,Laconia                  ," 24,610.39 "," 22,089.26 "," 21,018.16 "," 22,815.35 ",
288 ,0 ,35 ,Lafayette Regional," 31,756.62 ", -   , -   ," 31,756.62 ",
291 ,291 ,35 ,Landaff                  ," 22,555.83 ", -   , -   ," 22,555.83 ",
295 ,295 ,32 ,Lebanon                  ," 30,728.83 "," 24,951.30 "," 24,161.34 "," 26,623.95 ",
,,,,,,,,
,,,Lempster," 22,494.99 ", -   , -   ," 22,494.99 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 30,297.62 "," 28,975.59 "," 35,867.53 "," 31,583.59 ",
306 ,0 ,35 ,Lisbon Regional," 22,688.26 "," 25,328.04 "," 35,739.43 "," 26,552.60 ",
315 ,315 ,27 ,Litchfield               ," 18,438.51 "," 19,008.52 "," 20,474.53 "," 19,260.50 ",
317 ,317 ,35 ,Littleton                ," 29,363.50 "," 28,024.99 "," 25,434.88 "," 27,865.79 ",
319 ,319 ,12 ,Londonderry              ," 21,499.71 "," 19,065.41 "," 21,048.60 "," 20,740.82 ",
327 ,327 ,22 ,Lyme                     ," 28,937.60 ", -   , -   ," 28,937.60 ",
333 ,333 ,13 ,Madison                  ," 33,750.33 ", -   , -   ," 33,750.33 ",
335 ,335 ,37 ,Manchester               ," 17,327.06 "," 18,186.84 "," 17,956.80 "," 17,733.79 ",
339 ,339 ,29 ,Marlboro                 ," 24,212.31 ", -   , -   ," 24,212.31 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 19,626.04 ", -   , -   ," 19,626.04 ",
342 ,0 ,63 ,Mascenic Regional," 17,344.28 "," 20,121.10 "," 22,823.27 "," 19,736.03 ",
343 ,0 ,62 ,Mascoma Valley Regional," 24,150.03 ", -   ," 25,722.97 "," 24,645.81 ",
,,,Mason," 21,106.91 ", -   , -   ," 21,106.91 ",
351 ,351 ,26 ,Merrimack                ," 21,044.63 "," 22,379.17 "," 21,919.51 "," 21,511.83 ",
352 ,0 ,46 ,Merrimack Valley," 20,664.98 "," 19,893.87 "," 18,675.42 "," 19,840.00 ",
353 ,353 ,61 ,Middleton                ," 19,773.40 ", -   , -   ," 19,773.40 ",
355 ,355 ,20 ,Milan                    ," 19,366.13 ", -   , -   ," 19,366.13 ",
357 ,357 ,40 ,Milford                  ," 18,869.87 "," 22,080.40 "," 22,309.65 "," 20,765.16 ",
359 ,359 ,64 ,Milton                   ," 21,853.08 "," 19,295.13 "," 15,792.25 "," 19,483.06 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 21,412.89 "," 19,059.90 "," 22,219.01 "," 21,249.23 ",
365 ,365 ,23 ,Monroe                   ," 34,131.48 ", -   , -   ," 34,131.48 ",
367 ,367 ,39 ,Mont Vernon              ," 17,646.51 ", -   , -   ," 17,646.51 ",
369 ,369 ,45 ,Moultonborough           ," 31,951.50 "," 42,117.85 "," 37,352.42 "," 35,664.36 ",
371 ,371 ,42 ,Nashua                   ," 19,312.83 "," 18,635.15 "," 16,614.23 "," 18,270.40 ",
375 ,375 ,29 ,Nelson                   ," 25,032.30 ", -   , -   ," 25,032.30 ",
377 ,377 ,19 ,New Boston               ," 17,937.66 ", -   , -   ," 17,937.66 ",
381 ,381 ,50 ,New Castle               ," 44,375.08 ", -   , -   ," 44,375.08 ",
387 ,387 ,16 ,Newfields              ," 23,890.38 ", -   , -   ," 23,890.38 ",
388 ,0 ,4 ,Newfound Area, -   , -   , -   , -   ,
,,,,,,,,
391 ,391 ,50 ,Newington                ," 39,328.16 ", -   , -   ," 39,328.16 ",
399 ,399 ,31 ,Newmarket                ," 22,482.38 ", -   ," 25,389.86 "," 23,268.66 ",
401 ,401 ,43 ,Newport                  ," 26,039.30 "," 30,660.78 "," 27,751.12 "," 27,628.41 ",
405 ,405 ,21 ,North Hampton            ," 33,209.46 ", -   , -   ," 33,209.46 ",
407 ,407 ,58 ,Northumberland           ," 22,246.01 ", -   ," 23,184.77 "," 22,601.38 ",
411 ,411 ,44 ,Northwood                  ," 22,474.48 ", -   , -   ," 22,474.48 ",
413 ,413 ,44 ,Nottingham                ," 17,992.04 ", -   , -   ," 17,992.04 ",
423 ,0 ,5 ,Oyster River Cooperative," 22,875.57 "," 22,179.06 "," 21,510.50 "," 22,133.90 ",
425 ,425 ,28 ,Pelham                   ," 16,279.39 "," 21,176.00 "," 19,681.59 "," 18,458.48 ",
427 ,427 ,53 ,Pembroke                 ," 21,471.00 ", -   ," 17,463.01 "," 19,355.03 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 21,996.66 "," 21,996.66 ",
435 ,435 ,23 ,Piermont                 ," 27,296.49 ", -   , -   ," 27,296.49 ",
437 ,437 ,7 ,Pittsburg                ," 42,450.80 ", -   ," 47,882.71 "," 44,483.94 ",
439 ,439 ,51 ,Pittsfield               ," 26,093.58 "," 16,694.67 "," 19,048.03 "," 21,648.97 ",
441 ,441 ,32 ,Plainfield               ," 28,055.41 ", -   , -   ," 28,055.41 ",
447 ,447 ,48 ,Plymouth                 ," 24,274.82 ", -   , -   ," 24,274.82 ",
449 ,449 ,52 ,Portsmouth               ," 26,316.47 "," 26,705.61 "," 24,148.21 "," 25,487.77 ",
450 ,0 ,35 ,Profile  , -   ," 27,641.84 "," 28,760.03 "," 28,382.36 ",
453 ,453 ,33 ,Raymond                  ," 21,769.47 "," 20,536.88 "," 21,793.46 "," 21,295.07 ",
461 ,461 ,54 ,Rochester                ," 20,494.73 "," 16,783.18 "," 20,103.70 "," 19,582.44 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 23,621.55 ", -   , -   ," 23,621.55 ",
467 ,467 ,48 ,Rumney                   ," 34,857.07 ", -   , -   ," 34,857.07 ",
471 ,471 ,50 ,Rye                      ," 30,308.22 ", -   , -   ," 30,308.22 ",
473 ,473 ,57 ,Salem                    ," 19,201.84 "," 17,304.73 "," 20,532.04 "," 19,223.54 ",
476 ,0 ,17 ,Sanborn Regional," 24,633.09 "," 23,416.77 "," 22,895.66 "," 23,756.13 ",
485 ,485 ,21 ,Seabrook                 ," 27,906.22 ", -   , -   ," 27,906.22 ",
486 ,0 ,46 ,Shaker Regional," 22,410.94 "," 21,852.85 "," 21,694.98 "," 22,024.98 ",
491 ,491 ,56 ,Somersworth              ," 21,060.26 "," 19,783.50 "," 21,966.60 "," 21,030.72 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 24,899.54 "," 24,899.54 ",
495 ,495 ,21 ,South Hampton            ," 29,903.14 ", -   , -   ," 29,903.14 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 21,342.45 ", -   , -   ," 21,342.45 ",
501 ,501 ,7 ,Stewartstown             ," 35,194.78 ", -   , -   ," 35,194.78 ",
503 ,503 ,24 ,Stoddard                 ," 27,257.15 ", -   , -   ," 27,257.15 ",
507 ,507 ,44 ,Strafford                 ," 19,641.79 ", -   , -   ," 19,641.79 ",
509 ,509 ,58 ,Stratford                ," 35,397.09 ", -   , -   ," 35,397.09 ",
511 ,511 ,16 ,Stratham                  ," 26,499.50 ", -   , -   ," 26,499.50 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 25,826.52 "," 39,958.15 "," 31,516.63 "," 30,749.96 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 34,172.45 ", -   , -   ," 34,172.45 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 31,348.77 ", -   , -   ," 31,348.77 ",
534 ,0 ,55 ,Timberlane Regional," 18,648.41 "," 20,510.67 "," 22,705.82 "," 20,258.03 ",
539 ,539 ,6 ,Unity                    ," 27,286.59 ", -   , -   ," 27,286.59 ",
543 ,543 ,64 ,Wakefield                ," 19,879.91 ", -   , -   ," 19,879.91 ",
549 ,549 ,23 ,Warren                   ," 29,708.97 ", -   , -   ," 29,708.97 ",
551 ,551 ,34 ,Washington               ," 33,229.99 ", -   , -   ," 33,229.99 ",
553 ,553 ,48 ,Waterville Valley        ," 36,616.31 ", -   , -   ," 36,616.31 ",
555 ,555 ,24 ,Weare                    ," 20,546.69 "," 17,294.92 ", -   ," 18,656.71 ",
559 ,559 ,48 ,Wentworth                ," 22,269.41 ", -   , -   ," 22,269.41 ",
563 ,563 ,29 ,Westmoreland             ," 21,826.66 ", -   , -   ," 21,826.66 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 24,232.81 ", -   ," 22,027.37 "," 23,384.95 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 21,315.05 "," 20,294.25 "," 23,396.43 "," 21,598.80 ",
573 ,573 ,38 ,Winchester               ," 23,651.29 ", -   , -   ," 23,651.29 ",
575 ,575 ,28 ,Windham                  ," 16,526.56 "," 19,039.15 "," 18,593.05 "," 17,560.06 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 26,312.46 "," 26,312.46 ",
582 ,0 ,59 ,Winnisquam Regional," 21,445.28 "," 19,838.64 "," 21,552.36 "," 20,974.98 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
