,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 18, 2019",
131 ,131 ,10 ,Derry  Cooperative," 15,707.83 "," 14,713.96 ", -   ," 15,335.65 ",
141 ,141 ,11 ,Dover                    ," 14,605.47 "," 11,128.69 "," 12,739.75 "," 12,898.17 ",
142 ,0 ,22 ,Dresden ," 20,169.04 ", -   ," 19,791.70 "," 19,919.12 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 14,214.97 ", -   , -   ," 14,214.97 ",
153 ,153 ,16 ,East Kingston *            ," 20,544.52 ", -   , -   ," 20,544.52 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 16,361.84 "," 17,771.79 "," 20,651.62 "," 17,851.02 ",
167 ,167 ,53 ,Epsom                    ," 17,352.52 ", -   , -   ," 17,352.52 ",
171 ,171 ,20 ,Errol                    ," 24,665.09 ", -   , -   ," 24,665.09 ",
173 ,173 ,16 ,Exeter  *                  ," 18,246.64 ", -   , -   ," 18,246.64 ",
172 ,0 ,16 ,Exeter Regional Cooperative * , -   ," 16,549.37 "," 16,167.93 "," 16,323.11 ",
174 ,0 ,60 ,Fall Mountain Regional," 18,426.48 ", -   ," 18,542.72 "," 18,463.28 ",
175 ,175 ,61 ,Farmington               ," 17,333.95 ", -   ," 17,127.75 "," 17,269.72 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 14,760.37 ", -   ," 17,442.91 "," 15,548.78 ",
187 ,187 ,13 ,Freedom                  ," 30,795.90 ", -   , -   ," 30,795.90 ",
189 ,189 ,14 ,Fremont                  ," 15,804.01 ", -   , -   ," 15,804.01 ",
191 ,191 ,30 ,Gilford                  ," 18,454.53 "," 19,295.18 "," 21,194.06 "," 19,798.52 ",
195 ,195 ,30 ,Gilmanton                ," 15,899.43 ", -   , -   ," 15,899.43 ",
199 ,199 ,19 ,Goffstown                ," 13,723.95 "," 12,747.57 "," 14,158.37 "," 13,583.49 ",
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 16,469.85 "," 16,915.84 "," 18,598.51 "," 17,281.91 ",
207 ,0 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 18,369.30 "," 18,742.99 "," 19,016.69 "," 18,646.22 ",
211 ,211 ,32 ,Grantham                 ," 21,288.75 ", -   , -   ," 21,288.75 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 14,970.24 ", -   , -   ," 14,970.24 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 19,384.72 "," 19,959.73 ", -   ," 19,650.75 ",
225 ,225 ,21 ,Hampton                  ," 17,657.77 ", -   , -   ," 17,657.77 ",
227 ,227 ,21 ,Hampton Falls            ," 25,031.93 ", -   , -   ," 25,031.93 ",
233 ,233 ,22 ,Hanover                  ," 22,484.84 ", -   , -   ," 22,484.84 ",
235 ,235 ,29 ,Harrisville              ," 21,689.04 ", -   , -   ," 21,689.04 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 15,993.18 "," 16,707.57 "," 22,565.79 "," 18,166.45 ",
245 ,245 ,24 ,Henniker   **              ," 17,339.81 ", -   , -   ," 17,339.81 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 20,423.31 ", -   , -   ," 20,423.31 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 19,553.32 "," 16,399.83 "," 21,251.76 "," 19,236.06 ",
255 ,255 ,38 ,Hinsdale                 ," 18,881.21 "," 21,963.35 "," 23,474.56 "," 20,807.17 ",
257 ,257 ,48 ,Holderness               ," 24,055.73 ", -   , -   ," 24,055.73 ",
259 ,259 ,41 ,Hollis                   ," 16,600.18 ", -   , -   ," 16,600.18 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 15,100.85 "," 15,029.95 "," 15,052.34 ",
261 ,261 ,15 ,Hooksett                 ," 15,749.24 "," 15,103.95 ", -   ," 15,492.64 ",
263 ,263 ,66 ,Hopkinton                ," 17,755.37 "," 15,788.13 "," 16,964.69 "," 17,175.47 ",
267 ,267 ,27 ,Hudson                   ," 14,312.34 "," 14,064.14 "," 14,948.30 "," 14,477.90 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 22,526.41 ", -   ," 23,451.74 "," 22,816.48 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 25,218.87 ", -   , -   ," 25,218.87 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 15,347.24 "," 14,054.68 "," 14,552.00 "," 14,828.62 ",
275 ,0 ,24 ,John Stark Regional  **, -   , -   ," 17,959.00 "," 17,959.00 ",
276 ,0 ,65 ,Kearsarge Regional," 19,735.07 "," 19,874.14 "," 22,386.66 "," 20,543.62 ",
279 ,279 ,29 ,Keene                    ," 17,654.16 "," 13,188.46 "," 15,213.53 "," 15,654.62 ",
281 ,281 ,16 ,Kensington *               ," 21,885.28 ", -   , -   ," 21,885.28 ",
285 ,285 ,30 ,Laconia                  ," 16,346.51 "," 16,737.74 "," 17,631.04 "," 16,827.75 ",
288 ,0 ,35 ,Lafayette Regional," 21,674.86 ", -   , -   ," 21,674.86 ",
291 ,291 ,35 ,Landaff                  ," 11,454.46 ", -   , -   ," 11,454.46 ",
295 ,295 ,32 ,Lebanon                  ," 25,575.23 "," 20,904.10 "," 20,456.59 "," 22,342.62 ",
,,,,,,,,
,,,Lempster," 23,063.75 ", -   , -   ," 23,063.75 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 27,203.12 "," 22,919.69 "," 28,392.14 "," 26,485.11 ",
306 ,0 ,35 ,Lisbon Regional," 13,282.97 "," 26,920.21 "," 19,874.22 "," 17,305.51 ",
315 ,315 ,27 ,Litchfield               ," 15,985.42 "," 15,405.64 "," 16,250.04 "," 15,887.22 ",
317 ,317 ,35 ,Littleton                ," 20,209.62 "," 14,584.88 "," 22,426.20 "," 19,971.16 ",
319 ,319 ,12 ,Londonderry              ," 17,608.27 "," 15,780.51 "," 16,488.52 "," 16,789.11 ",
327 ,327 ,22 ,Lyme                     ," 23,185.35 ", -   , -   ," 23,185.35 ",
333 ,333 ,13 ,Madison                  ," 24,394.08 ", -   , -   ," 24,394.08 ",
335 ,335 ,37 ,Manchester               ," 11,678.31 "," 12,805.06 "," 13,245.76 "," 12,389.33 ",
339 ,339 ,29 ,Marlboro                 ," 19,461.29 ", -   , -   ," 19,461.29 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 19,999.24 ", -   , -   ," 19,999.24 ",
342 ,0 ,63 ,Mascenic Regional," 12,828.10 "," 14,878.49 "," 15,288.91 "," 14,237.52 ",
343 ,0 ,62 ,Mascoma Valley Regional," 19,933.35 ", -   ," 22,245.48 "," 20,585.44 ",
,,,Mason," 19,953.26 ", -   , -   ," 19,953.26 ",
351 ,351 ,26 ,Merrimack                ," 16,501.19 "," 17,650.01 "," 16,814.03 "," 16,779.05 ",
352 ,0 ,46 ,Merrimack Valley," 16,350.27 "," 15,093.57 "," 14,673.14 "," 15,503.98 ",
353 ,353 ,61 ,Middleton                ," 15,653.97 ", -   , -   ," 15,653.97 ",
355 ,355 ,20 ,Milan                    ," 13,443.82 ", -   , -   ," 13,443.82 ",
357 ,357 ,40 ,Milford                  ," 15,643.81 "," 15,936.55 "," 16,674.61 "," 16,081.83 ",
359 ,359 ,64 ,Milton                   ," 16,356.06 "," 17,149.10 "," 20,080.80 "," 17,560.58 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 17,520.11 "," 17,068.50 "," 17,871.50 "," 17,557.82 ",
365 ,365 ,23 ,Monroe                   ," 29,893.62 ", -   , -   ," 29,893.62 ",
367 ,367 ,39 ,Mont Vernon              ," 17,836.80 ", -   , -   ," 17,836.80 ",
369 ,369 ,45 ,Moultonborough           ," 20,854.80 "," 34,255.35 "," 29,637.16 "," 25,687.17 ",
371 ,371 ,42 ,Nashua                   ," 13,666.08 "," 13,278.55 "," 12,668.39 "," 13,260.74 ",
375 ,375 ,29 ,Nelson                   ," 16,924.09 ", -   , -   ," 16,924.09 ",
377 ,377 ,19 ,New Boston               ," 12,585.21 ", -   , -   ," 12,585.21 ",
381 ,381 ,50 ,New Castle               ," 24,833.51 ", -   , -   ," 26,142.24 ",
387 ,387 ,16 ,Newfields *                ," 21,396.95 ", -   , -   ," 21,396.95 ",
388 ,0 ,4 ,Newfound Area," 17,922.42 "," 17,144.44 "," 17,797.77 "," 17,685.95 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 24,662.76 ", -   , -   ," 24,662.76 ",
399 ,399 ,31 ,Newmarket                ," 15,786.34 ", -   ," 16,450.80 "," 15,959.74 ",
401 ,401 ,43 ,Newport                  ," 15,310.60 "," 14,892.47 "," 17,433.43 "," 15,947.78 ",
405 ,405 ,21 ,North Hampton            ," 23,639.46 ", -   , -   ," 23,639.46 ",
407 ,407 ,58 ,Northumberland           ," 16,428.24 ", -   ," 16,237.47 "," 16,356.76 ",
411 ,411 ,44 ,Northwood  *                ," 15,354.64 ", -   , -   ," 15,354.64 ",
413 ,413 ,44 ,Nottingham *               ," 14,088.23 ", -   , -   ," 14,088.23 ",
423 ,0 ,5 ,Oyster River Cooperative," 17,995.65 "," 17,409.33 "," 18,240.03 "," 17,902.64 ",
425 ,425 ,28 ,Pelham                   ," 12,958.14 ", -   ," 14,641.54 "," 13,523.20 ",
427 ,427 ,53 ,Pembroke                 ," 17,066.70 ", -   ," 15,022.10 "," 16,012.15 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 19,142.70 "," 19,142.70 ",
435 ,435 ,23 ,Piermont                 ," 18,950.43 ", -   , -   ," 18,950.43 ",
437 ,437 ,7 ,Pittsburg                ," 29,439.16 ", -   ," 36,658.95 "," 31,911.88 ",
439 ,439 ,51 ,Pittsfield               ," 15,228.99 "," 14,827.46 "," 20,142.66 "," 16,442.27 ",
441 ,441 ,32 ,Plainfield               ," 21,714.13 ", -   , -   ," 21,714.13 ",
447 ,447 ,48 ,Plymouth                 ," 17,625.59 ", -   , -   ," 17,625.59 ",
449 ,449 ,52 ,Portsmouth               ," 19,975.72 "," 18,518.05 "," 17,615.63 "," 18,685.08 ",
450 ,0 ,35 ,Profile  , -   ," 20,323.68 "," 25,968.93 "," 23,627.22 ",
453 ,453 ,33 ,Raymond                  ," 16,089.79 "," 17,395.94 "," 19,508.45 "," 17,492.40 ",
461 ,461 ,54 ,Rochester                ," 15,413.71 "," 13,048.49 "," 12,844.12 "," 14,021.38 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 19,949.52 ", -   , -   ," 19,949.52 ",
467 ,467 ,48 ,Rumney                   ," 25,167.63 ", -   , -   ," 25,167.63 ",
471 ,471 ,50 ,Rye                      ," 24,727.29 ", -   , -   ," 24,727.29 ",
473 ,473 ,57 ,Salem                    ," 16,090.73 "," 14,370.82 "," 17,150.97 "," 16,048.03 ",
476 ,0 ,17 ,Sanborn Regional," 20,163.56 "," 18,737.38 "," 17,489.25 "," 18,770.51 ",
485 ,485 ,21 ,Seabrook                 ," 18,319.19 ", -   , -   ," 18,319.19 ",
486 ,0 ,46 ,Shaker Regional," 16,643.42 "," 15,732.59 "," 16,366.81 "," 16,292.87 ",
491 ,491 ,56 ,Somersworth              ," 14,759.05 "," 16,458.85 "," 17,563.81 "," 15,924.38 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 20,849.10 "," 20,849.10 ",
495 ,495 ,21 ,South Hampton            ," 22,278.72 ", -   , -   ," 22,278.72 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 21,066.51 ", -   , -   ," 21,066.51 ",
501 ,501 ,7 ,Stewartstown             ," 21,766.60 ", -   , -   ," 21,766.17 ",
503 ,503 ,24 ,Stoddard  **               ," 18,704.98 ", -   , -   ," 18,704.98 ",
507 ,507 ,44 ,Strafford *                ," 13,805.16 ", -   , -   ," 13,805.16 ",
509 ,509 ,58 ,Stratford                ," 23,517.97 ", -   , -   ," 23,517.97 ",
511 ,511 ,16 ,Stratham *                 ," 18,350.52 ", -   , -   ," 18,350.52 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 25,773.48 "," 28,260.78 "," 28,688.64 "," 27,486.04 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 28,174.61 ", -   , -   ," 28,174.61 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 18,696.82 ", -   , -   ," 18,696.82 ",
534 ,0 ,55 ,Timberlane Regional," 17,325.02 "," 17,069.60 "," 17,951.40 "," 17,463.50 ",
539 ,539 ,6 ,Unity                    ," 18,816.94 ", -   , -   ," 18,816.94 ",
543 ,543 ,64 ,Wakefield                ," 14,875.33 ", -   , -   ," 14,875.33 ",
549 ,549 ,23 ,Warren                   ," 19,108.87 ", -   , -   ," 19,108.87 ",
551 ,551 ,34 ,Washington               ," 20,534.90 ", -   , -   ," 20,534.90 ",
553 ,553 ,48 ,Waterville Valley        ," 43,732.44 ", -   , -   ," 43,732.44 ",
555 ,555 ,24 ,Weare  **                    ," 12,169.01 "," 15,678.71 ", -   ," 13,456.49 ",
559 ,559 ,48 ,Wentworth                ," 21,888.86 ", -   , -   ," 21,888.86 ",
563 ,563 ,29 ,Westmoreland             ," 16,796.35 ", -   , -   ," 16,796.35 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 17,100.00 ", -   ," 20,497.53 "," 18,223.59 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 18,486.15 "," 21,191.97 "," 19,711.99 "," 19,445.57 ",
573 ,573 ,38 ,Winchester               ," 17,290.61 ", -   , -   ," 17,290.61 ",
575 ,575 ,28 ,Windham                  ," 14,266.62 ", -   ," 15,401.46 "," 14,631.48 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 21,113.11 "," 21,113.11 ",
582 ,0 ,59 ,Winnisquam Regional," 16,593.94 "," 15,482.27 "," 16,924.28 "," 16,404.53 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,* Districts do not report federal funds on their annual financial statement ,,,,,
,,,** Partial reporting of federal funds,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,RML,,,,,
,,,66  (18.20),,,,,
