,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"February 2, 2012",
127 ,127 ,53 ,Deerfield                ," 14,039.00 ", -   , -   ," 14,039.00 ",
131 ,131 ,10 ,Derry  Cooperative," 13,198.83 "," 11,915.63 ", -   ," 12,693.69 ",
141 ,141 ,11 ,Dover                    ," 9,600.88 "," 9,098.25 "," 10,640.17 "," 9,845.82 ",
142 ,0 ,22 ,Dresden ," 16,116.71 ", -   ," 15,235.76 "," 15,557.68 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 12,425.27 ", -   , -   ," 12,425.27 ",
153 ,153 ,16 ,East Kingston            ," 12,351.73 ", -   , -   ," 12,351.73 ",
,,,,,,,,
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 14,258.44 "," 13,579.08 "," 16,716.06 "," 14,763.15 ",
167 ,167 ,53 ,Epsom                    ," 13,113.88 ", -   , -   ," 13,113.88 ",
171 ,171 ,20 ,Errol                    ," 25,181.83 ", -   , -   ," 25,181.83 ",
,,,,,,,,
173 ,173 ,16 ,Exeter                   ," 14,086.69 ", -   , -   ," 14,086.69 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 11,663.50 "," 12,793.55 "," 12,310.73 ",
174 ,0 ,60 ,Fall Mountain Regional," 13,084.29 ", -   ," 13,786.04 "," 13,323.74 ",
175 ,175 ,61 ,Farmington               ," 10,790.11 ", -   ," 10,180.52 "," 10,596.34 ",
185 ,185 ,18 ,Franklin                 ," 10,120.98 "," 9,037.38 "," 10,356.74 "," 9,850.04 ",
,,,,,,,,
187 ,187 ,13 ,Freedom                  ," 19,556.09 ", -   , -   ," 19,556.09 ",
189 ,189 ,14 ,Fremont                  ," 12,050.38 ", -   , -   ," 12,050.38 ",
191 ,191 ,30 ,Gilford                  ," 19,216.24 "," 16,804.53 "," 14,680.56 "," 16,560.70 ",
195 ,195 ,30 ,Gilmanton                ," 13,060.90 ", -   , -   ," 13,060.90 ",
199 ,199 ,19 ,Goffstown                ," 11,201.97 "," 9,526.88 "," 11,039.09 "," 10,592.85 ",
,,,,,,,,
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 14,893.13 "," 12,571.32 "," 15,027.12 "," 14,370.21 ",
207 ,0 ,43 ,Goshen-Lempster Coop," 15,716.78 ", -   , -   ," 15,716.78 ",
208 ,0 ,49 ,Gov Wentworth Regional," 15,491.16 "," 17,153.35 "," 13,936.56 "," 15,213.91 ",
211 ,211 ,32 ,Grantham                 ," 13,150.92 ", -   , -   ," 13,150.92 ",
215 ,215 ,50 ,Greenland                ," 12,389.82 ", -   , -   ," 12,389.82 ",
,,,,,,,,
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 15,881.87 ", -   , -   ," 15,881.87 ",
225 ,225 ,21 ,Hampton                  ," 13,232.53 "," 14,212.13 ", -   ," 13,561.30 ",
227 ,227 ,21 ,Hampton Falls            ," 16,438.07 ", -   , -   ," 16,438.07 ",
233 ,233 ,22 ,Hanover                  ," 16,238.02 ", -   , -   ," 16,238.02 ",
,,,,,,,,
235 ,235 ,29 ,Harrisville              ," 25,052.70 ", -   , -   ," 25,052.70 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 13,886.43 "," 14,273.78 "," 16,567.58 "," 14,960.80 ",
245 ,245 ,24 ,Henniker                 ," 15,403.85 ", -   , -   ," 15,403.85 ",
247 ,247 ,18 ,Hill                     ," 9,872.61 ", -   , -   ," 9,872.61 ",
,,,,,,,,
251 ,0 ,34 ,Hillsboro-Deering Coop," 14,356.96 "," 13,086.12 "," 13,950.18 "," 13,908.92 ",
255 ,255 ,38 ,Hinsdale                 ," 14,017.43 "," 16,503.27 "," 18,421.79 "," 15,881.34 ",
257 ,257 ,48 ,Holderness               ," 18,029.91 ", -   , -   ," 18,029.91 ",
259 ,259 ,41 ,Hollis                   ," 14,790.18 ", -   , -   ," 14,790.18 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 12,156.38 "," 11,189.14 "," 11,512.91 ",
,,,,,,,,
261 ,261 ,15 ,Hooksett                 ," 10,783.73 "," 11,020.17 ", -   ," 10,871.46 ",
263 ,263 ,66 ,Hopkinton                ," 14,861.65 "," 15,791.97 "," 14,646.85 "," 14,940.26 ",
267 ,267 ,27 ,Hudson                   ," 9,153.32 "," 9,244.24 "," 10,277.67 "," 9,574.45 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 16,961.60 ", -   ," 16,657.55 "," 16,859.37 ",
271 ,271 ,9 ,Jackson                  ," 19,619.22 ", -   , -   ," 19,619.22 ",
,,,,,,,,
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 11,792.21 "," 12,408.51 "," 12,473.78 "," 12,141.38 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 14,607.58 "," 14,607.58 ",
276 ,0 ,65 ,Kearsarge Regional," 14,529.35 "," 16,177.86 "," 14,054.89 "," 14,778.39 ",
279 ,279 ,29 ,Keene                    ," 16,476.48 "," 15,702.52 "," 13,131.71 "," 14,781.70 ",
281 ,281 ,16 ,Kensington               ," 13,669.04 ", -   , -   ," 13,669.04 ",
285 ,285 ,30 ,Laconia                  ," 12,374.51 "," 13,669.65 "," 13,696.13 "," 13,124.94 ",
288 ,0 ,35 ,Lafayette Regional," 21,945.83 ", -   , -   ," 21,945.83 ",
291 ,291 ,35 ,Landaff                  ," 12,998.16 ", -   , -   ," 12,998.16 ",
295 ,295 ,32 ,Lebanon                  ," 20,833.33 "," 18,379.83 "," 15,815.16 "," 18,310.37 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 16,878.33 "," 14,844.72 "," 18,534.11 "," 16,828.22 ",
,,,,,,,,
306 ,0 ,35 ,Lisbon Regional," 15,176.03 "," 10,888.04 "," 13,823.71 "," 13,491.14 ",
315 ,315 ,27 ,Litchfield               ," 10,623.05 "," 10,289.37 "," 12,462.20 "," 11,113.06 ",
317 ,317 ,35 ,Littleton                ," 16,008.61 "," 15,078.58 "," 18,566.00 "," 16,724.21 ",
319 ,319 ,12 ,Londonderry              ," 13,223.88 "," 11,252.86 "," 12,236.96 "," 12,387.27 ",
327 ,327 ,22 ,Lyme                     ," 14,758.35 ", -   , -   ," 14,758.35 ",
,,,,,,,,
333 ,333 ,13 ,Madison                  ," 16,974.79 ", -   , -   ," 16,974.79 ",
335 ,335 ,37 ,Manchester               ," 10,522.33 "," 9,921.50 "," 8,967.74 "," 9,826.22 ",
339 ,339 ,29 ,Marlboro                 ," 14,931.50 ", -   , -   ," 14,931.50 ",
341 ,341 ,29 ,Marlow                   ," 18,297.65 ", -   , -   ," 18,297.65 ",
342 ,0 ,63 ,Mascenic Regional," 10,321.97 "," 11,361.33 "," 10,974.80 "," 10,862.86 ",
,,,,,,,,
343 ,0 ,62 ,Mascoma Valley Regional," 12,900.63 ", -   ," 14,264.22 "," 13,318.32 ",
,,,Mason," 11,861.49 ", -   , -   ," 11,861.49 ",
351 ,351 ,26 ,Merrimack                ," 13,085.38 "," 12,772.29 "," 12,551.16 "," 12,846.53 ",
352 ,0 ,46 ,Merrimack Valley," 12,173.69 "," 11,265.01 "," 11,251.13 "," 11,648.26 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
,,,,,,,,
355 ,355 ,20 ,Milan                    ," 12,448.47 ", -   , -   ," 12,448.47 ",
357 ,357 ,40 ,Milford                  ," 11,078.63 "," 12,579.45 "," 11,591.75 "," 11,606.48 ",
359 ,359 ,64 ,Milton                   ," 12,512.40 "," 15,375.05 "," 13,754.50 "," 13,583.66 ",
363 ,0 ,38 ,Monadnock Regional," 15,424.02 "," 13,833.41 "," 16,953.53 "," 15,645.39 ",
365 ,365 ,23 ,Monroe                   ," 20,983.30 ", -   , -   ," 20,983.30 ",
,,,,,,,,
367 ,367 ,39 ,Mont Vernon              ," 13,208.16 ", -   , -   ," 13,208.16 ",
369 ,369 ,45 ,Moultonborough           ," 18,458.57 "," 20,822.12 "," 17,946.42 "," 18,639.29 ",
371 ,371 ,42 ,Nashua                   ," 11,532.15 "," 10,533.65 "," 10,667.99 "," 11,021.71 ",
375 ,375 ,29 ,Nelson                   ," 27,486.60 ", -   , -   ," 27,486.60 ",
377 ,377 ,19 ,New Boston               ," 10,613.69 ", -   , -   ," 10,613.69 ",
,,,,,,,,
381 ,381 ,50 ,New Castle               ," 23,195.32 ", -   , -   ," 23,195.32 ",
387 ,387 ,16 ,Newfields                ," 13,573.91 ", -   , -   ," 13,573.91 ",
388 ,0 ,4 ,Newfound Area," 16,800.31 "," 14,637.63 "," 14,641.60 "," 15,556.74 ",
391 ,391 ,50 ,Newington                ," 31,547.50 ", -   , -   ," 31,547.50 ",
399 ,399 ,31 ,Newmarket                ," 14,303.57 ", -   ," 15,161.07 "," 14,534.82 ",
,,,,,,,,
401 ,401 ,43 ,Newport                  ," 13,425.86 "," 13,946.63 "," 15,155.96 "," 14,142.51 ",
405 ,405 ,21 ,North Hampton            ," 15,857.63 ", -   , -   ," 15,857.63 ",
407 ,407 ,58 ,Northumberland           ," 14,242.86 ", -   ," 14,767.95 "," 14,425.12 ",
411 ,411 ,44 ,Northwood                ," 13,754.26 ", -   , -   ," 13,754.26 ",
413 ,413 ,44 ,Nottingham               ," 11,237.28 ", -   , -   ," 11,237.28 ",
,,,,,,,,
423 ,0 ,5 ,Oyster River Cooperative," 15,913.31 "," 15,639.41 "," 16,084.19 "," 15,884.31 ",
425 ,425 ,28 ,Pelham                   ," 9,361.79 ", -   ," 11,993.08 "," 10,126.33 ",
427 ,427 ,53 ,Pembroke                 ," 13,237.93 ", -   ," 11,219.03 "," 12,156.48 ",
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 15,742.03 "," 15,742.03 ",
435 ,435 ,23 ,Piermont                 ," 16,719.78 ", -   , -   ," 16,719.78 ",
,,,,,,,,
437 ,437 ,7 ,Pittsburg                ," 18,107.08 ", -   ," 24,771.25 "," 20,294.04 ",
439 ,439 ,51 ,Pittsfield               ," 15,372.75 "," 18,442.91 "," 20,215.58 "," 17,214.81 ",
441 ,441 ,32 ,Plainfield               ," 16,047.73 ", -   , -   ," 16,047.73 ",
447 ,447 ,48 ,Plymouth                 ," 16,841.72 ", -   , -   ," 16,841.72 ",
449 ,449 ,52 ,Portsmouth               ," 14,668.61 "," 15,035.50 "," 14,574.49 "," 14,697.07 ",
450 ,0 ,35 ,Profile  , -   ," 18,127.17 "," 18,017.50 "," 18,059.17 ",
453 ,453 ,33 ,Raymond                  ," 12,432.36 "," 13,261.76 "," 15,211.87 "," 13,530.30 ",
461 ,461 ,54 ,Rochester                ," 13,073.92 "," 10,943.31 "," 10,917.44 "," 11,859.44 ",
463 ,463 ,56 ,Rollinsford              ," 15,534.09 ", -   , -   ," 15,534.09 ",
467 ,467 ,48 ,Rumney                   ," 17,138.94 ", -   , -   ," 17,138.94 ",
,,,,,,,,
471 ,471 ,50 ,Rye                      ," 15,212.20 ", -   , -   ," 15,212.20 ",
473 ,473 ,57 ,Salem                    ," 10,931.49 "," 8,670.52 "," 11,059.50 "," 10,426.79 ",
476 ,0 ,17 ,Sanborn Regional," 14,383.30 "," 14,483.79 "," 12,717.54 "," 13,762.47 ",
485 ,485 ,21 ,Seabrook                 ," 17,529.01 "," 15,093.20 ", -   ," 16,372.14 ",
486 ,0 ,46 ,Shaker Regional," 12,526.34 "," 12,559.81 "," 11,686.54 "," 12,272.32 ",
,,,,,,,,
491 ,491 ,56 ,Somersworth              ," 12,774.25 "," 11,063.98 "," 11,589.90 "," 11,827.20 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 17,052.90 "," 17,052.90 ",
495 ,495 ,21 ,South Hampton            ," 17,026.19 ", -   , -   ," 17,026.19 ",
499 ,499 ,58 ,Stark                    ," 23,889.17 ", -   , -   ," 23,889.17 ",
501 ,501 ,7 ,Stewartstown             ," 13,850.67 ", -   , -   ," 13,850.67 ",
,,,,,,,,
503 ,503 ,24 ,Stoddard                 ," 18,228.45 ", -   , -   ," 18,228.45 ",
507 ,507 ,44 ,Strafford                ," 12,878.79 ", -   , -   ," 12,878.79 ",
509 ,509 ,58 ,Stratford                ," 16,762.30 ", -   ," 27,733.88 "," 18,962.05 ",
511 ,511 ,16 ,Stratham                 ," 13,544.50 ", -   , -   ," 13,544.50 ",
515 ,515 ,43 ,Sunapee                  ," 16,942.87 "," 21,223.75 "," 21,207.86 "," 19,311.21 ",
,,,,,,,,
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 19,417.04 ", -   , -   ," 19,417.04 ",
531 ,531 ,48 ,Thornton                 ," 16,222.56 ", -   , -   ," 16,222.56 ",
534 ,0 ,55 ,Timberlane Regional," 12,714.47 "," 12,557.64 "," 11,956.32 "," 12,414.29 ",
539 ,539 ,6 ,Unity                    ," 13,567.64 ", -   , -   ," 13,567.64 ",
,,,,,,,,
543 ,543 ,64 ,Wakefield                ," 12,622.50 ", -   , -   ," 12,622.50 ",
549 ,549 ,23 ,Warren                   ," 16,810.88 ", -   , -   ," 16,810.88 ",
551 ,551 ,34 ,Washington               ," 14,148.96 ", -   , -   ," 14,148.96 ",
553 ,553 ,48 ,Waterville Valley        ," 31,472.31 ", -   , -   ," 31,472.31 ",
555 ,555 ,24 ,Weare                    ," 9,946.23 "," 10,322.77 ", -   ," 10,134.55 ",
,,,,,,,,
559 ,559 ,48 ,Wentworth                ," 18,366.68 ", -   , -   ," 18,366.68 ",
563 ,563 ,29 ,Westmoreland             ," 12,111.42 ", -   , -   ," 12,111.42 ",
568 ,0 ,36 ,White Mountains Regional," 12,550.34 ", -   ," 14,050.52 "," 13,070.43 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 13,383.11 "," 17,092.72 "," 13,539.65 "," 14,037.67 ",
573 ,573 ,38 ,Winchester               ," 14,111.32 ", -   , -   ," 14,111.32 ",
,,,,,,,,
575 ,575 ,28 ,Windham                  ," 12,144.26 ", -   ," 16,995.73 "," 13,166.88 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 14,531.26 "," 14,531.26 ",
582 ,0 ,59 ,Winnisquam Regional," 12,542.86 "," 13,516.21 "," 13,661.87 "," 13,141.07 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,JDF/rml,,,,,
,,,66  (18.20),,,,,
