,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 3, 2017",
75 ,75 ,48 ,Campton                  ," 16,993.87 ", -   , -   ," 16,993.87 ",
79 ,79 ,15 ,Candia                   ," 14,890.83 ", -   , -   ," 14,890.83 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 11,835.32 ", -   , -   ," 11,835.32 ",
95 ,95 ,29 ,Chesterfield             ," 18,090.28 ", -   , -   ," 18,090.28 ",
99 ,99 ,53 ,Chichester               ," 16,875.77 ", -   , -   ," 16,875.77 ",
101 ,101 ,6 ,Claremont                ," 15,951.55 "," 16,396.70 "," 17,557.79 "," 16,520.35 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 14,679.03 ", -   ," 19,858.46 "," 16,349.35 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 15,684.49 "," 14,056.94 "," 13,410.51 "," 14,459.20 ",
112 ,0 ,1 ,Contoocook Valley," 18,159.76 "," 16,893.01 "," 17,258.11 "," 17,463.31 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 16,153.53 "," 16,641.55 "," 14,551.37 "," 15,527.36 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 24,275.21 ", -   , -   ," 24,275.21 ",
117 ,117 ,43 ,Croydon                  ," 13,993.87 ", -   , -   ," 13,993.87 ",
127 ,127 ,53 ,Deerfield                ," 16,442.73 ", -   , -   ," 16,442.73 ",
131 ,131 ,10 ,Derry  Cooperative," 13,846.90 "," 13,961.99 ", -   ," 13,889.48 ",
141 ,141 ,11 ,Dover                    ," 11,480.89 "," 10,349.67 "," 12,350.37 "," 11,448.28 ",
142 ,0 ,22 ,Dresden ," 17,992.63 ", -   ," 19,539.58 "," 18,970.93 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 15,830.09 ", -   , -   ," 15,830.09 ",
153 ,153 ,16 ,East Kingston            ," 17,079.76 ", -   , -   ," 17,079.76 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 14,619.72 "," 15,901.02 "," 19,344.34 "," 16,212.76 ",
167 ,167 ,53 ,Epsom                    ," 14,860.39 ", -   , -   ," 14,860.39 ",
171 ,171 ,20 ,Errol                    ," 27,768.13 ", -   , -   ," 27,768.13 ",
173 ,173 ,16 ,Exeter                   ," 16,795.72 ", -   , -   ," 16,795.72 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 14,403.66 "," 13,749.58 "," 14,019.33 ",
174 ,0 ,60 ,Fall Mountain Regional," 18,075.40 ", -   ," 13,417.52 "," 16,530.06 ",
175 ,175 ,61 ,Farmington               ," 13,459.92 ", -   ," 15,075.74 "," 13,901.63 ",
,,,,,,,,
185 ,185 ,18 ,Franklin                 ," 10,239.12 "," 13,365.95 "," 12,868.60 "," 11,918.97 ",
187 ,187 ,13 ,Freedom                  ," 25,196.34 ", -   , -   ," 25,196.34 ",
189 ,189 ,14 ,Fremont                  ," 13,966.12 ", -   , -   ," 13,966.12 ",
191 ,191 ,30 ,Gilford                  ," 17,608.21 "," 18,368.43 "," 18,551.58 "," 18,210.25 ",
195 ,195 ,30 ,Gilmanton                ," 13,640.36 ", -   , -   ," 13,640.36 ",
199 ,199 ,19 ,Goffstown                ," 13,561.56 "," 11,749.71 "," 12,408.24 "," 12,507.99 ",
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 15,742.85 "," 14,854.97 "," 17,645.61 "," 16,097.33 ",
207 ,0 ,43 ,Goshen, -   , -   , -   , -   ,
208 ,0 ,49 ,Gov Wentworth Regional," 17,153.68 "," 18,010.78 "," 15,866.66 "," 16,842.53 ",
211 ,211 ,32 ,Grantham                 ," 17,463.00 ", -   , -   ," 17,463.00 ",
,,,,,,,,
215 ,215 ,50 ,Greenland                ," 13,636.42 ", -   , -   ," 13,636.42 ",
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 17,916.84 "," 17,197.54 ", -   ," 17,549.57 ",
225 ,225 ,21 ,Hampton                  ," 15,769.82 ", -   , -   ," 15,769.82 ",
227 ,227 ,21 ,Hampton Falls            ," 20,557.92 ", -   , -   ," 20,557.92 ",
233 ,233 ,22 ,Hanover                  ," 19,923.64 ", -   , -   ," 19,923.64 ",
235 ,235 ,29 ,Harrisville              ," 28,687.65 ", -   , -   ," 28,687.65 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 16,157.64 "," 17,051.22 "," 20,796.70 "," 17,962.04 ",
245 ,245 ,24 ,Henniker                 ," 17,721.83 ", -   , -   ," 17,721.83 ",
,,,,,,,,
247 ,247 ,18 ,Hill                     ," 17,032.40 ", -   , -   ," 17,032.40 ",
251 ,0 ,34 ,Hillsboro-Deering Coop," 16,337.78 "," 16,314.71 "," 17,508.21 "," 16,695.63 ",
255 ,255 ,38 ,Hinsdale                 ," 16,347.90 "," 20,027.32 "," 21,315.21 "," 18,492.77 ",
257 ,257 ,48 ,Holderness               ," 21,855.32 ", -   , -   ," 21,855.32 ",
259 ,259 ,41 ,Hollis                   ," 15,721.25 ", -   , -   ," 15,721.25 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 14,590.89 "," 13,630.33 "," 13,954.90 ",
261 ,261 ,15 ,Hooksett                 ," 13,003.21 "," 13,248.28 ", -   ," 13,094.68 ",
263 ,263 ,66 ,Hopkinton                ," 17,995.54 "," 15,475.15 "," 19,199.44 "," 17,926.31 ",
267 ,267 ,27 ,Hudson                   ," 12,017.53 "," 12,032.33 "," 11,871.00 "," 11,966.24 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 19,065.36 ", -   ," 21,952.84 "," 19,948.53 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 28,405.23 ", -   , -   ," 28,405.23 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 13,899.92 "," 17,087.21 "," 15,624.86 "," 15,088.05 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 16,858.81 "," 16,858.81 ",
276 ,0 ,65 ,Kearsarge Regional," 15,965.20 "," 20,729.35 "," 19,220.48 "," 18,101.36 ",
279 ,279 ,29 ,Keene                    ," 18,151.98 "," 13,740.22 "," 15,136.18 "," 15,958.05 ",
281 ,281 ,16 ,Kensington               ," 20,239.03 ", -   , -   ," 20,239.03 ",
285 ,285 ,30 ,Laconia                  ," 14,922.20 "," 17,198.70 "," 17,237.30 "," 16,137.70 ",
288 ,0 ,35 ,Lafayette Regional," 20,350.42 ", -   , -   ," 20,350.42 ",
291 ,291 ,35 ,Landaff                  ," 13,620.38 ", -   , -   ," 13,620.38 ",
295 ,295 ,32 ,Lebanon                  ," 22,143.97 "," 19,446.66 "," 19,431.13 "," 20,404.94 ",
,,,,,,,,
,,,Lempster," 21,587.22 ", -   , -   ," 21,587.22 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 20,202.29 "," 18,839.03 "," 22,455.44 "," 20,553.05 ",
306 ,0 ,35 ,Lisbon Regional," 12,674.63 "," 23,519.55 "," 17,346.10 "," 16,104.36 ",
315 ,315 ,27 ,Litchfield               ," 14,553.00 "," 12,770.08 "," 14,168.00 "," 13,796.67 ",
317 ,317 ,35 ,Littleton                ," 18,050.78 "," 13,994.62 "," 23,106.43 "," 19,038.36 ",
319 ,319 ,12 ,Londonderry              ," 16,178.94 "," 13,692.68 "," 14,579.20 "," 14,986.00 ",
327 ,327 ,22 ,Lyme                     ," 18,682.43 ", -   , -   ," 18,682.43 ",
333 ,333 ,13 ,Madison                  ," 21,869.08 ", -   , -   ," 21,869.08 ",
335 ,335 ,37 ,Manchester               ," 11,034.27 "," 11,304.76 "," 11,999.95 "," 11,389.38 ",
339 ,339 ,29 ,Marlboro                 ," 15,500.51 ", -   , -   ," 15,500.51 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 27,571.97 ", -   , -   ," 27,571.97 ",
342 ,0 ,63 ,Mascenic Regional," 12,127.85 "," 12,137.05 "," 14,936.61 "," 13,047.04 ",
343 ,0 ,62 ,Mascoma Valley Regional," 17,178.10 ", -   ," 19,670.43 "," 17,888.69 ",
,,,Mason," 17,396.20 ", -   , -   ," 17,396.20 ",
351 ,351 ,26 ,Merrimack                ," 15,957.90 "," 16,289.88 "," 15,497.66 "," 15,859.26 ",
352 ,0 ,46 ,Merrimack Valley," 14,254.41 "," 13,371.29 "," 13,386.68 "," 13,762.38 ",
353 ,353 ,61 ,Middleton                , -   , -   , -   , -   ,
355 ,355 ,20 ,Milan                    ," 10,956.77 ", -   , -   ," 10,956.77 ",
357 ,357 ,40 ,Milford                  ," 14,516.95 "," 13,890.34 "," 15,058.53 "," 14,541.76 ",
359 ,359 ,64 ,Milton                   ," 14,045.35 "," 18,017.87 "," 14,312.57 "," 14,951.73 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 17,103.28 "," 18,514.47 "," 18,598.69 "," 17,775.95 ",
365 ,365 ,23 ,Monroe                   ," 24,346.39 ", -   , -   ," 24,346.39 ",
367 ,367 ,39 ,Mont Vernon              ," 14,821.81 ", -   , -   ," 14,821.81 ",
369 ,369 ,45 ,Moultonborough           ," 21,766.12 "," 25,078.20 "," 24,238.29 "," 23,177.00 ",
371 ,371 ,42 ,Nashua                   ," 12,989.38 "," 12,517.08 "," 12,204.36 "," 12,635.32 ",
375 ,375 ,29 ,Nelson                   ," 18,000.74 ", -   , -   ," 18,000.74 ",
377 ,377 ,19 ,New Boston               ," 12,486.85 ", -   , -   ," 12,486.85 ",
381 ,381 ,50 ,New Castle               ," 30,106.31 ", -   , -   ," 30,106.31 ",
387 ,387 ,16 ,Newfields                ," 16,049.00 ", -   , -   ," 16,049.00 ",
388 ,0 ,4 ,Newfound Area," 16,398.32 "," 15,093.55 "," 16,709.27 "," 16,164.17 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 30,714.20 ", -   , -   ," 30,714.20 ",
399 ,399 ,31 ,Newmarket                ," 14,408.65 ", -   ," 17,502.77 "," 15,145.43 ",
401 ,401 ,43 ,Newport                  ," 12,630.23 "," 10,082.14 "," 17,158.71 "," 13,812.57 ",
405 ,405 ,21 ,North Hampton            ," 19,045.29 ", -   , -   ," 19,045.29 ",
407 ,407 ,58 ,Northumberland           ," 16,366.28 ", -   ," 15,285.92 "," 15,948.05 ",
411 ,411 ,44 ,Northwood                ," 14,459.17 ", -   , -   ," 14,459.17 ",
413 ,413 ,44 ,Nottingham               ," 12,623.83 ", -   , -   ," 12,623.83 ",
423 ,0 ,5 ,Oyster River Cooperative," 17,959.36 "," 16,493.93 "," 17,157.49 "," 17,181.54 ",
425 ,425 ,28 ,Pelham                   ," 10,698.70 ", -   ," 13,494.33 "," 11,586.53 ",
427 ,427 ,53 ,Pembroke                 ," 14,997.38 ", -   ," 12,991.04 "," 13,979.18 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 16,361.43 "," 16,361.43 ",
435 ,435 ,23 ,Piermont                 ," 20,710.75 ", -   , -   ," 20,710.75 ",
437 ,437 ,7 ,Pittsburg                ," 24,334.78 ", -   ," 29,921.57 "," 26,628.35 ",
439 ,439 ,51 ,Pittsfield               ," 14,723.39 "," 16,242.82 "," 22,092.69 "," 17,039.04 ",
441 ,441 ,32 ,Plainfield               ," 19,596.26 ", -   , -   ," 19,596.26 ",
447 ,447 ,48 ,Plymouth                 ," 19,040.06 ", -   , -   ," 19,040.06 ",
449 ,449 ,52 ,Portsmouth               ," 17,268.05 "," 17,381.58 "," 16,906.59 "," 17,141.05 ",
450 ,0 ,35 ,Profile  , -   ," 27,833.38 "," 19,740.78 "," 21,981.58 ",
453 ,453 ,33 ,Raymond                  ," 13,579.47 "," 14,695.99 "," 15,082.60 "," 14,394.44 ",
461 ,461 ,54 ,Rochester                ," 14,122.71 "," 12,850.56 "," 11,763.78 "," 13,057.28 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 19,524.49 ", -   , -   ," 19,524.49 ",
467 ,467 ,48 ,Rumney                   ," 23,483.13 ", -   , -   ," 23,483.13 ",
471 ,471 ,50 ,Rye                      ," 19,535.14 ", -   , -   ," 19,535.14 ",
473 ,473 ,57 ,Salem                    ," 14,634.35 "," 12,397.61 "," 15,945.87 "," 14,524.76 ",
476 ,0 ,17 ,Sanborn Regional," 19,044.07 "," 14,931.17 "," 16,126.13 "," 16,953.92 ",
485 ,485 ,21 ,Seabrook                 ," 16,706.12 ", -   , -   ," 16,706.12 ",
486 ,0 ,46 ,Shaker Regional," 13,307.76 "," 15,095.93 "," 13,821.78 "," 13,959.65 ",
491 ,491 ,56 ,Somersworth              ," 14,611.41 "," 15,600.37 "," 15,473.60 "," 15,113.42 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 18,266.56 "," 18,266.56 ",
495 ,495 ,21 ,South Hampton            ," 22,381.90 ", -   , -   ," 22,381.90 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 19,287.33 ", -   , -   ," 19,287.33 ",
501 ,501 ,7 ,Stewartstown             ," 13,997.21 ", -   , -   ," 13,997.21 ",
503 ,503 ,24 ,Stoddard                 ," 13,428.63 ", -   , -   ," 13,428.63 ",
507 ,507 ,44 ,Strafford                ," 14,027.67 ", -   , -   ," 14,027.67 ",
509 ,509 ,58 ,Stratford                ," 22,801.15 ", -   , -   ," 22,801.15 ",
511 ,511 ,16 ,Stratham                 ," 16,690.05 ", -   , -   ," 16,690.05 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 21,535.35 "," 24,644.49 "," 24,881.67 "," 23,458.86 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 22,424.06 ", -   , -   ," 22,424.06 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 19,881.16 ", -   , -   ," 19,881.16 ",
534 ,0 ,55 ,Timberlane Regional," 15,865.08 "," 15,671.43 "," 15,504.61 "," 15,694.88 ",
539 ,539 ,6 ,Unity                    ," 13,773.00 ", -   , -   ," 13,773.00 ",
543 ,543 ,64 ,Wakefield                ," 13,388.39 ", -   , -   ," 13,388.39 ",
549 ,549 ,23 ,Warren                   ," 19,627.81 ", -   , -   ," 19,627.81 ",
551 ,551 ,34 ,Washington               ," 14,890.65 ", -   , -   ," 14,890.65 ",
553 ,553 ,48 ,Waterville Valley        ," 31,268.83 ", -   , -   ," 31,268.83 ",
555 ,555 ,24 ,Weare                    ," 10,780.59 "," 14,740.24 ", -   ," 12,262.31 ",
559 ,559 ,48 ,Wentworth                ," 20,989.38 ", -   , -   ," 20,989.38 ",
563 ,563 ,29 ,Westmoreland             ," 14,813.59 ", -   , -   ," 14,813.59 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 16,041.30 ", -   ," 18,057.06 "," 16,748.95 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 18,703.06 "," 17,728.13 "," 19,340.13 "," 18,680.00 ",
573 ,573 ,38 ,Winchester               ," 15,064.43 ", -   , -   ," 15,064.43 ",
575 ,575 ,28 ,Windham                  ," 13,384.13 ", -   ," 13,505.62 "," 13,420.17 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 17,943.12 "," 17,943.12 ",
582 ,0 ,59 ,Winnisquam Regional," 15,267.85 "," 13,927.19 "," 15,195.56 "," 14,905.39 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,RML,,,,,
,,,66  (18.20),,,,,
