,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 7, 2017",
267 ,267 ,27 ,Hudson                   ," 13,516.72 "," 13,416.97 "," 12,182.15 "," 12,998.33 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 21,064.21 ", -   ," 23,000.61 "," 21,677.47 ",
,,,,,,,,
271 ,271 ,9 ,Jackson                  ," 27,117.07 ", -   , -   ," 27,117.07 ",
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 14,133.20 "," 14,791.59 "," 15,337.00 "," 14,615.95 ",
275 ,0 ,24 ,John Stark Regional  **, -   , -   ," 17,380.94 "," 17,380.94 ",
276 ,0 ,65 ,Kearsarge Regional," 16,421.55 "," 20,948.24 "," 19,516.40 "," 18,465.28 ",
279 ,279 ,29 ,Keene                    ," 17,092.65 "," 13,764.76 "," 14,772.66 "," 15,416.23 ",
281 ,281 ,16 ,Kensington *               ," 20,606.85 ", -   , -   ," 20,606.85 ",
285 ,285 ,30 ,Laconia                  ," 14,702.04 "," 17,265.81 "," 16,824.71 "," 15,887.22 ",
288 ,0 ,35 ,Lafayette Regional," 20,364.67 ", -   , -   ," 20,364.67 ",
291 ,291 ,35 ,Landaff                  ," 9,584.95 ", -   , -   ," 9,584.95 ",
295 ,295 ,32 ,Lebanon                  ," 21,705.00 "," 19,444.06 "," 19,070.93 "," 20,112.56 ",
,,,,,,,,
,,,Lempster," 22,271.91 ", -   , -   ," 22,271.91 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 20,716.59 "," 19,096.79 "," 25,409.60 "," 21,656.93 ",
306 ,0 ,35 ,Lisbon Regional," 13,873.37 "," 17,741.40 "," 20,476.25 "," 16,713.68 ",
315 ,315 ,27 ,Litchfield               ," 16,016.74 "," 13,432.49 "," 14,702.32 "," 14,643.51 ",
317 ,317 ,35 ,Littleton                ," 19,760.64 "," 16,064.77 "," 22,881.81 "," 20,249.45 ",
319 ,319 ,12 ,Londonderry              ," 16,438.12 "," 13,870.65 "," 15,525.58 "," 15,479.34 ",
327 ,327 ,22 ,Lyme                     ," 20,635.62 ", -   , -   ," 20,635.62 ",
333 ,333 ,13 ,Madison                  ," 23,288.92 ", -   , -   ," 23,288.92 ",
335 ,335 ,37 ,Manchester               ," 11,201.02 "," 11,981.76 "," 12,275.26 "," 11,696.57 ",
339 ,339 ,29 ,Marlboro                 ," 16,716.98 ", -   , -   ," 16,716.98 ",
,,,,,,,,
341 ,341 ,29 ,Marlow                   ," 20,666.84 ", -   , -   ," 20,666.84 ",
342 ,0 ,63 ,Mascenic Regional," 11,837.31 "," 13,639.50 "," 15,013.62 "," 13,439.75 ",
343 ,0 ,62 ,Mascoma Valley Regional," 17,398.68 ", -   ," 21,277.45 "," 18,445.53 ",
,,,Mason," 17,802.50 ", -   , -   ," 17,802.50 ",
351 ,351 ,26 ,Merrimack                ," 16,295.87 "," 15,436.10 "," 16,302.43 "," 16,152.10 ",
352 ,0 ,46 ,Merrimack Valley," 14,772.40 "," 14,148.86 "," 13,652.66 "," 14,256.12 ",
353 ,353 ,61 ,Middleton                ," 13,793.55 ", -   , -   ," 13,793.55 ",
355 ,355 ,20 ,Milan                    ," 11,836.02 ", -   , -   ," 11,836.02 ",
357 ,357 ,40 ,Milford                  ," 15,670.76 "," 14,841.58 "," 15,987.80 "," 15,569.26 ",
359 ,359 ,64 ,Milton                   ," 15,191.15 "," 20,276.88 "," 15,384.89 "," 16,311.43 ",
,,,,,,,,
363 ,0 ,38 ,Monadnock Regional," 17,937.42 "," 16,012.93 "," 18,372.73 "," 17,764.34 ",
365 ,365 ,23 ,Monroe                   ," 24,184.79 ", -   , -   ," 24,184.79 ",
367 ,367 ,39 ,Mont Vernon              ," 16,119.79 ", -   , -   ," 16,119.79 ",
369 ,369 ,45 ,Moultonborough           ," 21,785.57 "," 32,536.43 "," 24,810.75 "," 24,485.50 ",
371 ,371 ,42 ,Nashua                   ," 13,068.28 "," 12,892.21 "," 12,021.61 "," 12,692.62 ",
375 ,375 ,29 ,Nelson                   ," 15,768.44 ", -   , -   ," 15,768.44 ",
377 ,377 ,19 ,New Boston               ," 11,919.21 ", -   , -   ," 11,919.21 ",
381 ,381 ,50 ,New Castle               ," 21,382.83 ", -   , -   ," 21,382.83 ",
387 ,387 ,16 ,Newfields *                ," 18,856.16 ", -   , -   ," 18,856.16 ",
388 ,0 ,4 ,Newfound Area," 17,168.25 "," 16,649.93 "," 16,853.76 "," 16,941.34 ",
,,,,,,,,
391 ,391 ,50 ,Newington                ," 23,414.76 ", -   , -   ," 23,414.76 ",
399 ,399 ,31 ,Newmarket                ," 14,333.18 ", -   ," 18,487.76 "," 15,256.43 ",
401 ,401 ,43 ,Newport                  ," 14,530.75 "," 8,845.35 "," 16,507.71 "," 13,888.35 ",
405 ,405 ,21 ,North Hampton            ," 19,456.21 ", -   , -   ," 19,456.21 ",
407 ,407 ,58 ,Northumberland           ," 15,093.45 ", -   ," 14,625.09 "," 14,916.98 ",
411 ,411 ,44 ,Northwood  *                ," 14,499.51 ", -   , -   ," 14,499.51 ",
413 ,413 ,44 ,Nottingham *               ," 13,181.97 ", -   , -   ," 13,181.97 ",
423 ,0 ,5 ,Oyster River Cooperative," 17,068.91 "," 17,609.64 "," 17,776.42 "," 17,489.91 ",
425 ,425 ,28 ,Pelham                   ," 11,524.06 ", -   ," 13,105.86 "," 12,056.50 ",
427 ,427 ,53 ,Pembroke                 ," 16,026.65 ", -   ," 14,121.59 "," 15,052.35 ",
,,,,,,,,
428 ,0 ,48 ,Pemi-Baker Cooperative, -   , -   ," 17,757.94 "," 17,757.94 ",
435 ,435 ,23 ,Piermont                 ," 17,197.17 ", -   , -   ," 17,197.17 ",
437 ,437 ,7 ,Pittsburg                ," 20,601.75 ", -   ," 31,766.57 "," 24,633.26 ",
439 ,439 ,51 ,Pittsfield               ," 13,971.41 "," 17,926.11 "," 20,338.70 "," 16,314.84 ",
441 ,441 ,32 ,Plainfield               ," 21,498.65 ", -   , -   ," 21,498.65 ",
447 ,447 ,48 ,Plymouth                 ," 18,029.97 ", -   , -   ," 18,029.97 ",
449 ,449 ,52 ,Portsmouth               ," 18,433.76 "," 17,690.74 "," 17,360.81 "," 17,836.74 ",
450 ,0 ,35 ,Profile  , -   ," 21,571.19 "," 24,501.24 "," 23,425.73 ",
453 ,453 ,33 ,Raymond                  ," 14,318.64 "," 15,308.70 "," 15,519.52 "," 14,991.17 ",
461 ,461 ,54 ,Rochester                ," 14,468.55 "," 12,774.67 "," 12,467.12 "," 13,441.22 ",
,,,,,,,,
463 ,463 ,56 ,Rollinsford              ," 19,246.70 ", -   , -   ," 19,246.70 ",
467 ,467 ,48 ,Rumney                   ," 25,225.44 ", -   , -   ," 25,225.44 ",
471 ,471 ,50 ,Rye                      ," 20,052.51 ", -   , -   ," 20,052.51 ",
473 ,473 ,57 ,Salem                    ," 14,630.08 "," 12,734.20 "," 16,728.99 "," 14,845.75 ",
476 ,0 ,17 ,Sanborn Regional," 19,239.59 "," 16,993.31 "," 16,466.66 "," 17,653.70 ",
485 ,485 ,21 ,Seabrook                 ," 17,057.13 ", -   , -   ," 17,057.13 ",
486 ,0 ,46 ,Shaker Regional," 13,977.03 "," 15,661.12 "," 14,730.74 "," 14,681.20 ",
491 ,491 ,56 ,Somersworth              ," 13,343.06 "," 17,994.12 "," 15,319.62 "," 14,915.05 ",
493 ,0 ,39 ,Souhegan Cooperative , -   , -   ," 18,195.56 "," 18,195.56 ",
495 ,495 ,21 ,South Hampton            ," 23,079.04 ", -   , -   ," 23,079.04 ",
,,,,,,,,
499 ,499 ,58 ,Stark                    ," 17,493.26 ", -   , -   ," 17,493.26 ",
501 ,501 ,7 ,Stewartstown             ," 21,200.14 ", -   , -   ," 21,200.14 ",
503 ,503 ,24 ,Stoddard  **               ," 13,946.81 ", -   , -   ," 13,946.81 ",
507 ,507 ,44 ,Strafford *                ," 13,572.41 ", -   , -   ," 13,572.41 ",
509 ,509 ,58 ,Stratford                ," 25,646.03 ", -   , -   ," 25,646.03 ",
511 ,511 ,16 ,Stratham *                 ," 16,875.01 ", -   , -   ," 16,875.01 ",
,,,Sullivan, -   , -   , -   , -   ,
515 ,515 ,43 ,Sunapee                  ," 22,033.35 "," 24,606.41 "," 25,100.34 "," 23,790.90 ",
,,,Surry, -   , -   , -   , -   ,
525 ,525 ,13 ,Tamworth                 ," 23,474.30 ", -   , -   ," 23,474.30 ",
,,,,,,,,
531 ,531 ,48 ,Thornton                 ," 18,120.12 ", -   , -   ," 18,120.12 ",
534 ,0 ,55 ,Timberlane Regional," 16,862.93 "," 16,693.98 "," 16,736.49 "," 16,780.01 ",
539 ,539 ,6 ,Unity                    ," 14,212.31 ", -   , -   ," 14,212.31 ",
543 ,543 ,64 ,Wakefield                ," 14,337.71 ", -   , -   ," 14,337.71 ",
549 ,549 ,23 ,Warren                   ," 19,762.88 ", -   , -   ," 19,762.88 ",
551 ,551 ,34 ,Washington               ," 20,181.36 ", -   , -   ," 20,181.36 ",
553 ,553 ,48 ,Waterville Valley        ," 42,586.41 ", -   , -   ," 42,586.41 ",
555 ,555 ,24 ,Weare  **                    ," 10,707.74 "," 15,449.78 ", -   ," 12,415.39 ",
559 ,559 ,48 ,Wentworth                ," 21,874.96 ", -   , -   ," 21,874.96 ",
563 ,563 ,29 ,Westmoreland             ," 15,443.22 ", -   , -   ," 15,443.22 ",
,,,,,,,,
568 ,0 ,36 ,White Mountains Regional," 16,717.83 ", -   ," 16,586.03 "," 16,672.22 ",
572 ,0 ,63 ,Wilton-Lyndeboro Cooperative," 20,885.28 "," 15,313.55 "," 16,904.02 "," 18,247.04 ",
573 ,573 ,38 ,Winchester               ," 15,419.74 ", -   , -   ," 15,419.74 ",
575 ,575 ,28 ,Windham                  ," 13,503.93 ", -   ," 14,092.53 "," 13,685.91 ",
579 ,579 ,34 ,Windsor                  , -   , -   , -   , -   ,
581 ,0 ,21 ,Winnacunnet Cooperative, -   , -   ," 19,090.68 "," 19,090.68 ",
582 ,0 ,59 ,Winnisquam Regional," 16,205.16 "," 15,262.78 "," 16,699.97 "," 16,114.42 ",
,,,,,,,,
,,,,,,,,
,,,NOTE:  ,,,,,
,,,"It is appropriate to compare two districts only when they have the same grade range.  Even when the grade ranges are identical, ",,,,,
,,,only the total figures should be considered comparable because different formulas may have been used to allocate district-wide ,,,,,
,,,costs. ,,,,,
,,,,,,,,
,,,* Districts do not report federal funds on their annual financial statement ,,,,,
,,,** Partial reporting of federal funds,,,,,
,,,,,,,,
,,,(1) State Average based on district operated schools only.,,,,,
,,,,,,,,
,,,RML,,,,,
,,,66  (18.20),,,,,
